set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset
2,13,art,plural,present,The artists who the gallery owners hire paint new pictures.,10,standard_object_a,37
2,14,art,plural,present,The artists who the gallery owners hire quickly paint new pictures.,11,standard_object_b,38
2,15,art,plural,present,The talented artists who the gallery owners hire paint new pictures.,11,standard_object_c,39
2,16,art,plural,present,The talented artists who the gallery owners hire quickly paint new pictures.,12,standard_object_d,40
2,17,art,plural,present,The artists who read the books that are on the shelves paint new pictures.,14,nested_subject_a,41
2,18,art,plural,present,The artists who read the books that are on the shelves quickly paint new pictures.,15,nested_subject_b,42
2,19,art,plural,present,The talented artists who read the books that are on the shelves paint new pictures.,15,nested_subject_c,43
2,20,art,plural,present,The talented artists who read the books that are on the shelves quickly paint new pictures.,16,nested_subject_d,44
2,21,art,plural,present,The artists who the instructors who the schools pay teach paint new pictures.,14,nested_object_a,45
2,22,art,plural,present,The artists who the instructors who the schools pay teach quickly paint new pictures.,3,nested_object_b,46
2,23,art,plural,present,The talented artists who the instructors who the schools pay teach paint new pictures.,14,nested_object_c,47
2,24,art,plural,present,The talented artists who the instructors who the schools pay teach quickly paint new pictures.,15,nested_object_d,48
3,1,art,singular,past,The painter created the sculpture.,5,baseline_a,49
3,2,art,singular,past,The painter quickly created the sculpture.,6,baseline_b,50
3,3,art,singular,past,The talented painter created the sculpture.,6,baseline_c,51
3,4,art,singular,past,The talented painter quickly created the sculpture.,7,baseline_d,52
3,5,art,singular,past,The painter in the attic created the sculpture.,8,control_a,53
3,6,art,singular,past,The painter in the attic quickly created the sculpture.,9,control_b,54
3,7,art,singular,past,The talented painter in the attic created the sculpture.,9,control_c,55
3,8,art,singular,past,The talented painter in the attic quickly created the sculpture.,10,control_d,56
3,9,art,singular,past,The painter who practiced daily created the sculpture.,8,standard_subject_a,57
3,10,art,singular,past,The painter who practiced daily quickly created the sculpture.,9,standard_subject_b,58
3,11,art,singular,past,The talented painter who practiced daily created the sculpture.,9,standard_subject_c,59
3,12,art,singular,past,The talented painter who practiced daily quickly created the sculpture.,10,standard_subject_d,60
3,13,art,singular,past,The painter who the curator hired created the sculpture.,9,standard_object_a,61
3,14,art,singular,past,The painter who the curator hired quickly created the sculpture.,10,standard_object_b,62
3,15,art,singular,past,The talented painter who the curator hired created the sculpture.,10,standard_object_c,63
3,16,art,singular,past,The talented painter who the curator hired quickly created the sculpture.,11,standard_object_d,64
3,17,art,singular,past,The painter who studied the techniques that were in the book created the sculpture.,14,nested_subject_a,65
3,18,art,singular,past,The painter who studied the technique that was in the book quickly created the sculpture.,15,nested_subject_b,66
3,19,art,singular,past,The talented painter who studied the technique that was in the book created the sculpture.,15,nested_subject_c,67
3,20,art,singular,past,The talented painter who studied the technique that was in the book quickly created the sculpture.,16,nested_subject_d,68
3,21,art,singular,past,The painter who the critic who the artist admired respected created the sculpture.,13,nested_object_a,69
3,22,art,singular,past,The painter who the critic who the artist admired respected quickly created the sculpture.,14,nested_object_b,70
3,23,art,singular,past,The talented painter who the critic who the artist admired respected created the sculpture.,14,nested_object_c,71
3,24,art,singular,past,The talented painter who the critic who the artist admired respected quickly created the sculpture.,15,nested_object_d,72
4,1,art,plural,past,The guitarists played a new song.,6,baseline_a,73
4,2,art,plural,past,The guitarists skillfully played a new song.,7,baseline_b,74
4,3,art,plural,past,The creative guitarists played a new song.,7,baseline_c,75
4,4,art,plural,past,The creative guitarists skillfully played a new song.,8,baseline_d,76
4,5,art,plural,past,The guitarists in the studio played a new song.,9,control_a,77
4,6,art,plural,past,The guitarists in the studio skillfully played a new song.,10,control_b,78
4,7,art,plural,past,The creative guitarists in the studio played a new song.,10,control_c,79
4,8,art,plural,past,The creative guitarists in the studio skillfully played a new song.,11,control_d,80
4,9,art,plural,past,The guitarists who studied music played a new song.,9,standard_subject_a,81
4,10,art,plural,past,The guitarists who studied music skillfully played a new song.,10,standard_subject_b,82
4,11,art,plural,past,The creative guitarists who studied music played a new song.,10,standard_subject_c,83
4,12,art,plural,past,The creative guitarists who studied music skillfully played a new song.,11,standard_subject_d,84
4,13,art,plural,past,The guitarists who the singers found played a new song.,10,standard_object_a,85
4,14,art,plural,past,The guitarists who the singers found skillfully played a new song.,11,standard_object_b,86
4,15,art,plural,past,The creative guitarists who the singers found played a new song.,11,standard_object_c,87
4,16,art,plural,past,The creative guitarists who the singers found skillfully played a new song.,12,standard_object_d,88
4,17,art,plural,past,The guitarists who put together the band that had success played a new song.,14,nested_subject_a,89
4,18,art,plural,past,The guitarists who put together the band that had success skillfully played a new song.,15,nested_subject_b,90
4,19,art,plural,past,The creative guitarists who put together the band that had success played a new song.,15,nested_subject_c,91
4,20,art,plural,past,The creative guitarists who put together the band that had success skillfully played a new song.,16,nested_subject_d,92
4,21,art,plural,past,The guitarists who the drummers who the company hired welcomes played a new song.,16,nested_object_a,93
4,22,art,plural,past,The guitarists who the drummers who the company hired welcomes skillfully played a new song.,15,nested_object_b,94
4,23,art,plural,past,The creative guitarists who the drummers who the company hired welcomes played a new song.,15,nested_object_c,95
4,24,art,plural,past,The creative guitarists who the drummers who the company hired welcomes skillfully played a new song.,16,nested_object_d,96
5,1,basic,plural,past,The parents cooked the meal.,5,baseline_a,97
5,2,basic,plural,past,The parents slowly cooked the meal.,6,baseline_b,98
5,3,basic,plural,past,The elderly parents cooked the meal.,6,baseline_c,99
5,4,basic,plural,past,The elderly parents slowly cooked the meal.,7,baseline_d,100
5,5,basic,plural,past,The parents in the kitchen cooked the meal.,8,control_a,101
5,6,basic,plural,past,The parents in the kitchen slowly cooked the meal.,9,control_b,102
5,7,basic,plural,past,The elderly parents in the kitchen cooked the meal.,9,control_c,103
5,8,basic,plural,past,The elderly parents in the kitchen slowly cooked the meal.,10,control_d,104
5,9,basic,plural,past,The parents who studied cooking cooked the meal.,8,standard_subject_a,105
5,10,basic,plural,past,The parents who studied cooking slowly cooked the meal.,9,standard_subject_b,106
5,11,basic,plural,past,The elderly parents who studied cooking cooked the meal.,9,standard_subject_c,107
5,12,basic,plural,past,The elderly parents who studied cooking slowly cooked the meal.,10,standard_subject_d,108
5,13,basic,plural,past,The parents who the guests visited cooked the meal.,9,standard_object_a,109
5,14,basic,plural,past,The parents who the guests visited slowly cooked the meal.,10,standard_object_b,110
5,15,basic,plural,past,The elderly parents who theguests visited cooked the meal.,10,standard_object_c,111
5,16,basic,plural,past,The elderly parents who the guests visited slowly cooked the meal.,11,standard_object_d,112
5,17,basic,plural,past,The parents who saw the recipes that were in the book cooked the meal.,14,nested_subject_a,113
5,18,basic,plural,past,The parents who saw the recipes that were in the book slowly cooked the meal.,15,nested_subject_b,114
5,19,basic,plural,past,The elderly parents who saw the recipes that were in the book cooked the meal.,15,nested_subject_c,115
5,20,basic,plural,past,The elderly parents who saw the recipes that were in the book slowly cooked the meal.,16,nested_subject_d,116
5,21,basic,plural,past,The parents who the friends who the children trusted invited cooked the meal.,13,nested_object_a,117
5,22,basic,plural,past,The parents who the friends who the children trusted invited slowly cooked the meal.,14,nested_object_b,118
5,23,basic,plural,past,The elderly parents who the friends who the children trusted invited cooked the meal.,14,nested_object_c,119
5,24,basic,plural,past,The elderly parents who the friends who the children trusted invited slowly cooked the meal.,15,nested_object_d,120
6,1,basic,singular,present,The teacher eats a sandwich.,5,baseline_a,121
6,2,basic,singular,present,The teacher delicately eats a sandwich.,6,baseline_b,122
6,3,basic,singular,present,The nice teacher eats a sandwich.,6,baseline_c,123
6,4,basic,singular,present,The nice teacher delicately eats a sandwich.,7,baseline_d,124
6,5,basic,singular,present,The teacher at home eats a sandwich.,7,control_a,125
6,6,basic,singular,present,The teacher at home delicately eats a sandwich.,8,control_b,126
6,7,basic,singular,present,The nice teacher at home eats a sandwich.,8,control_c,127
6,8,basic,singular,present,The nice teacher at home delicately eats a sandwich.,9,control_d,128
6,9,basic,singular,present,The teacher who read books eats a sandwich.,8,standard_subject_a,129
6,10,basic,singular,present,The teacher who read books delicately eats a sandwich.,9,standard_subject_b,130
6,11,basic,singular,present,The nice teacher who read books eats a sandwich.,9,standard_subject_c,131
6,12,basic,singular,present,The nice teacher who read books delicately eats a sandwich.,10,standard_subject_d,132
6,13,basic,singular,present,The teacher who the student respected eats a sandwich.,9,standard_object_a,133
6,14,basic,singular,present,The teacher who the student respected delicately eats a sandwich.,10,standard_object_b,134
6,15,basic,singular,present,The nice teacher who the student respected eats a sandwich.,10,standard_object_c,135
6,16,basic,singular,present,The nice teacher who the student respected delicately eats a sandwich.,11,standard_object_d,136
6,17,basic,singular,present,The teacher who studied the textbook that was on the shelf eats a sandwich.,14,nested_subject_a,137
6,18,basic,singular,present,The teacher who studied the textbook that was on the shelf delicately eats a sandwich.,15,nested_subject_b,138
6,19,basic,singular,present,The nice teacher who studied the textbook that was on the shelf eats a sandwich.,15,nested_subject_c,139
6,20,basic,singular,present,The nice teacher who studied the textbook that was on the shelf delicately eats a sandwich.,16,nested_subject_d,140
6,21,basic,singular,present,The teacher who the parent who the principal trusted recommended eats a sandwich.,13,nested_object_a,141
6,22,basic,singular,present,The teacher who the parent who the principal trusted recommended delicately eats a sandwich.,14,nested_object_b,142
6,23,basic,singular,present,The nice teacher who the parent who the principal trusted recommended eats a sandwich.,14,nested_object_c,143
6,24,basic,singular,present,The nice teacher who the parent who the principal trusted recommended delicately eats a sandwich.,15,nested_object_d,144
7,1,communication,plural,past,The speakers used their phones yesterday.,6,baseline_a,145
7,2,communication,plural,past,The speakers immediately used their phones yesterday.,7,baseline_b,146
7,3,communication,plural,past,The skilled speakers used their phones yesterday.,7,baseline_c,147
7,4,communication,plural,past,The skilled speakers immediately used their phones yesterday.,8,baseline_d,148
7,5,communication,plural,past,The speakers in the offices used their phones yesterday.,9,control_a,149
7,6,communication,plural,past,The speakers in the offices immediately used their phones yesterday.,10,control_b,150
7,7,communication,plural,past,The skilled speakers in the offices used their phones yesterday.,10,control_c,151
7,8,communication,plural,past,The skilled speakers in the offices immediately used their phones yesterday.,11,control_d,152
7,9,communication,plural,past,The speakers who studied linguistics used their phones yesterday.,9,standard_subject_a,153
7,10,communication,plural,past,The speakers who studied linguistics immediately used their phones yesterday.,10,standard_subject_b,154
7,11,communication,plural,past,The skilled speakers who studied linguistics used their phones yesterday.,10,standard_subject_c,155
7,12,communication,plural,past,The skilled speakers who studied linguistics immediately used their phones yesterday.,11,standard_subject_d,156
7,13,communication,plural,past,The speakers who the managers trained used their phones yesterday.,10,standard_object_a,157
7,14,communication,plural,past,The speakers who the managers trained immediately used their phones yesterday.,11,standard_object_b,158
7,15,communication,plural,past,The skilled speakers who the managers trained used their phones yesterday.,11,standard_object_c,159
7,16,communication,plural,past,The skilled speakers who the managers trained immediately used their phones yesterday.,12,standard_object_d,160
7,17,communication,plural,past,The speakers who read the texts that explained grammar used their phones yesterday.,13,nested_subject_a,161
7,18,communication,plural,past,The speakers who read the texts that explained grammar immediately used their phones yesterday.,14,nested_subject_b,162
7,19,communication,plural,past,The skilled speakers who read the texts that explained grammar used their phones yesterday.,14,nested_subject_c,163
7,20,communication,plural,past,The skilled speakers who read the texts that explained grammar immediately used their phones yesterday.,15,nested_subject_d,164
7,21,communication,plural,past,The speakers who the trainers who the companies hired coached used their phones yesterday.,14,nested_object_a,165
7,22,communication,plural,past,The speakers who the trainers who the companies hired coached immediately used their phones yesterday.,15,nested_object_b,166
7,23,communication,plural,past,The skilled speakers who the trainers who the company hired coached used their phones yesterday.,15,nested_object_c,167
7,24,communication,plural,past,The skilled speakers who the trainers who the companies hired coached immediately used their phones yesterday.,16,nested_object_d,168
8,1,communication,plural,present,People send text messages on phones.,6,baseline_a,169
8,2,communication,plural,present,People casually send text messages on phones.,7,baseline_b,170
8,3,communication,plural,present,Active people send text messages on phones.,7,baseline_c,171
8,4,communication,plural,present,Active people casually send text messages on phones.,8,baseline_d,172
8,5,communication,plural,present,People in offices send text messages on phones.,8,control_a,173
8,6,communication,plural,present,People in offices casually send text messages on phones.,9,control_b,174
8,7,communication,plural,present,Active people in offices send text messages on phones.,9,control_c,175
8,8,communication,plural,present,Active people in offices casually send text messages on phones.,10,control_d,176
8,9,communication,plural,present,People who studied languages send text messages on phones.,9,standard_subject_a,177
8,10,communication,plural,present,People who studied languages casually send text messages on phones.,10,standard_subject_b,178
8,11,communication,plural,present,Active people who studied languages send text messages on phones.,10,standard_subject_c,179
8,12,communication,plural,present,Active people who studied languages casually send text messages on phones.,11,standard_subject_d,180
8,13,communication,plural,present,People who colleagues recommend send text messages on phones.,9,standard_object_a,181
8,14,communication,plural,present,People who colleagues recommend casually send text messages on phones.,10,standard_object_b,182
8,15,communication,plural,present,Active people who colleagues recommend send text messages on phones.,10,standard_object_c,183
8,16,communication,plural,present,Active people who colleagues recommend casually send text messages on phones.,11,standard_object_d,184
8,17,communication,plural,present,People who read articles that generate discussions send text messages on phones.,12,nested_subject_a,185
8,18,communication,plural,present,People who read articles that generate discussions casually send text messages on phones.,13,nested_subject_b,186
8,19,communication,plural,present,Active people who read articles that generate discussions send text messages on phones.,13,nested_subject_c,187
8,20,communication,plural,present,Active people who read articles that generate discussions casually send text messages on phones.,14,nested_subject_d,188
8,21,communication,plural,present,People who friends who trainers teach appreciate send text messages on phones.,12,nested_object_a,189
8,22,communication,plural,present,People who friends who trainers teach appreciate casually send text messages on phones.,13,nested_object_b,190
8,23,communication,plural,present,Active people who friends who trainers teach appreciate send text messages on phones.,13,nested_object_c,191
8,24,communication,plural,present,Active people who friends who trainers teach appreciate casually send text messages on phones.,14,nested_object_d,192
9,1,communication,singular,past,The teacher communicated the trip date to the parents.,5,baseline_a,193
9,2,communication,singular,past,The teacher deliberately communicated the trip date to the parents.,6,baseline_b,194
9,3,communication,singular,past,The experienced teacher communicated the trip date to the parents.,6,baseline_c,195
9,4,communication,singular,past,The experienced teacher deliberately communicated the trip date to the parents.,7,baseline_d,196
9,5,communication,singular,past,The teacher in the office communicated the trip date to the parents.,8,control_a,197
9,6,communication,singular,past,The teacher in the office deliberately communicated the trip date to the parents.,9,control_b,198
9,7,communication,singular,past,The experienced teacher in the office communicated the trip date to the parents.,9,control_c,199
9,8,communication,singular,past,The experienced teacher in the office deliberately communicated the trip date to the parents.,10,control_d,200
9,9,communication,singular,past,The teacher who prepared well communicated the trip date to the parents.,8,standard_subject_a,201
9,10,communication,singular,past,The teacher who prepared well deliberately communicated the trip date to the parents.,9,standard_subject_b,202
9,11,communication,singular,past,The experienced teacher who prepared well communicated the trip date to the parents.,9,standard_subject_c,203
9,12,communication,singular,past,The experienced teacher who prepared well deliberately communicated the trip date to the parents.,10,standard_subject_d,204
9,13,communication,singular,past,The teacher who the student liked communicated the trip date to the parents.,9,standard_object_a,205
9,14,communication,singular,past,The teacher who the student liked deliberately communicated the trip date to the parents.,10,standard_object_b,206
9,15,communication,singular,past,The experienced teacher who the student liked communicated the trip date to the parents.,10,standard_object_c,207
9,16,communication,singular,past,The experienced teacher who the student liked deliberately communicated the trip date to the parents.,11,standard_object_d,208
9,17,communication,singular,past,The teacher who read the atlas that was here communicated the trip date to the parents.,12,nested_subject_a,209
9,18,communication,singular,past,The teacher who read the atlas that was here deliberately communicated the trip date to the parents.,13,nested_subject_b,210
9,19,communication,singular,past,The experienced teacher who read the atlas that was here communicated the trip date to the parents.,13,nested_subject_c,211
9,20,communication,singular,past,The experienced teacher who read the atlas that was here deliberately communicated the trip date to the parents.,14,nested_subject_d,212
9,21,communication,singular,past,The teacher who the staff who the principal trusted helped communicated the trip date to the parents.,13,nested_object_a,213
9,22,communication,singular,past,The teacher who the staff who the principal trusted helped deliberately communicated the trip date to the parents.,14,nested_object_b,214
9,23,communication,singular,past,The experienced teacher who the staff who the principal trusted helped communicated the trip date to the parents.,14,nested_object_c,215
9,24,communication,singular,past,The experienced teacher who the staff who the principal trusted helped deliberately communicated the trip date to the parents.,15,nested_object_d,216
10,1,communication,singular,present,The secretary types a message.,5,baseline_a,217
10,2,communication,singular,present,The secretary quickly types a message.,6,baseline_b,218
10,3,communication,singular,present,The busy secretary types a message.,6,baseline_c,219
10,4,communication,singular,present,The busy secretary quickly types a message.,7,baseline_d,220
10,5,communication,singular,present,The secretary at the table types a message.,8,control_a,221
10,6,communication,singular,present,The secretary at the table quickly types a message.,9,control_b,222
10,7,communication,singular,present,The busy secretary at the table types a message.,9,control_c,223
10,8,communication,singular,present,The busy secretary at the table quickly types a message.,10,control_d,224
10,9,communication,singular,present,The secretary who prepared well types a message.,8,standard_subject_a,225
10,10,communication,singular,present,The secretary who prepared well quickly types a message.,9,standard_subject_b,226
10,11,communication,singular,present,The busy secretary who prepared well types a message.,9,standard_subject_c,227
10,12,communication,singular,present,The busy secretary who prepared well quickly types a message.,10,standard_subject_d,228
10,13,communication,singular,present,The secretary who the manager chose types a message.,9,standard_object_a,229
10,14,communication,singular,present,The secretary who the manager chose quickly types a message.,10,standard_object_b,230
10,15,communication,singular,present,The busy secretary who the manager chose writes a message.,10,standard_object_c,231
10,16,communication,singular,present,The busy secretary who the manager chose quickly types a message.,11,standard_object_d,232
10,17,communication,singular,present,The secretary who reviewed the text that was already edited types a message.,13,nested_subject_a,233
10,18,communication,singular,present,The secretary who reviewed the text that was already edited quickly types a message.,14,nested_subject_b,234
10,19,communication,singular,present,The busy secretary who reviewed the text that was already edited types a message.,14,nested_subject_c,235
10,20,communication,singular,present,The busy secretary who reviewed the text that was already edited quickly types a message.,15,nested_subject_d,236
10,21,communication,singular,present,The secretary who the editor who the chief hired recommends types a message.,14,nested_object_a,237
10,22,communication,singular,present,The secretary who the editor who the chief hired recommends quickly types a message.,6,nested_object_b,238
10,23,communication,singular,present,The busy secretary who the editor who the chief hired recommends types a message.,14,nested_object_c,239
10,24,communication,singular,present,The busy secretary who the editor who the chief hired recommends quickly types a message.,15,nested_object_d,240
11,1,daily routine,plural,past,The employees ate their breakfast.,5,baseline_a,241
11,2,daily routine,plural,past,The employees expeditiously ate their breakfast.,6,baseline_b,242
11,3,daily routine,plural,past,The new employees ate their breakfast.,6,baseline_c,243
11,4,daily routine,plural,past,The new employees expeditiously ate their breakfast.,7,baseline_d,244
11,5,daily routine,plural,past,The employees in the cafeteria ate their breakfast.,8,control_a,245
11,6,daily routine,plural,past,The employees in the cafeteria expeditiously ate their breakfast.,9,control_b,246
11,7,daily routine,plural,past,The new employees in the cafeteria ate their breakfast.,9,control_c,247
11,8,daily routine,plural,past,The new employees in the cafeteria expeditiously ate their breakfast.,10,control_d,248
11,9,daily routine,plural,past,The employees who trained hard ate their breakfast.,8,standard_subject_a,249
11,10,daily routine,plural,past,The employees who trained hard expeditiously ate their breakfast.,9,standard_subject_b,250
11,11,daily routine,plural,past,The new employees who trained hard ate their breakfast.,9,standard_subject_c,251
11,12,daily routine,plural,past,The new employees who trained hard expeditiously ate their breakfast.,10,standard_subject_d,252
11,13,daily routine,plural,past,The employees who the supervisors guided ate their breakfast.,9,standard_object_a,253
11,14,daily routine,plural,past,The employees who the supervisors guided expeditiously ate their breakfast.,10,standard_object_b,254
11,15,daily routine,plural,past,The new employees who the supervisors guided ate their breakfast.,10,standard_object_c,255
11,16,daily routine,plural,past,The new employees who the supervisors guided expeditiously ate their breakfast.,11,standard_object_d,256
11,17,daily routine,plural,past,The employees who received the newsletters that were on the table ate their breakfast.,14,nested_subject_a,257
11,18,daily routine,plural,past,The employees who received the newsletters that were on the table expeditiously ate their breakfast.,15,nested_subject_b,258
11,19,daily routine,plural,past,The new employees who received the newsletters that were on the table ate their breakfast.,15,nested_subject_c,259
11,20,daily routine,plural,past,The new employees who received the newsletters that were on the table expeditiously ate their breakfast.,16,nested_subject_d,260
11,21,daily routine,plural,past,The employees who the colleagues who the managers supported accepted ate their breakfast.,13,nested_object_a,261
11,22,daily routine,plural,past,The employees who the colleagues who the managers supported accepted expeditiously ate their breakfast.,14,nested_object_b,262
11,23,daily routine,plural,past,The new employees who the colleagues who the managers supported accepted ate their breakfast.,14,nested_object_c,263
11,24,daily routine,plural,past,The new employees who the colleagues who the managers supported accepted expeditiously ate their breakfast.,15,nested_object_d,264
12,1,daily routine,plural,present,The athletes wake their teammates.,5,baseline_a,265
12,2,daily routine,plural,present,The athletes energetically wake their teammates.,6,baseline_b,266
12,3,daily routine,plural,present,The exhausted athletes wake their teammates.,6,baseline_c,267
12,4,daily routine,plural,present,The exhausted athletes energetically wake their teammates.,7,baseline_d,268
12,5,daily routine,plural,present,The athletes in the hallway wake their teammates.,8,control_a,269
12,6,daily routine,plural,present,The athletes in the hallway energetically wake their teammates.,9,control_b,270
12,7,daily routine,plural,present,The exhausted athletes in the hallway wake their teammates.,9,control_c,271
12,8,daily routine,plural,present,The exhausted athletes in the hallway energetically wake their teammates.,10,control_d,272
12,9,daily routine,plural,present,The athletes who trained well wake their teammates.,8,standard_subject_a,273
12,10,daily routine,plural,present,The athletes who trained well energetically wake their teammates.,9,standard_subject_b,274
12,11,daily routine,plural,present,The exhausted athletes who trained well wake their teammates.,9,standard_subject_c,275
12,12,daily routine,plural,present,The exhausted athletes who trained well energetically wake their teammates.,10,standard_subject_d,276
12,13,daily routine,plural,present,The athletes who the coaches trained wake their teammates.,9,standard_object_a,277
12,14,daily routine,plural,present,The athletes who the coaches trained energetically wake their teammates.,10,standard_object_b,278
12,15,daily routine,plural,present,The exhausted athletes who the coaches trained wake their teammates.,10,standard_object_c,279
12,16,daily routine,plural,present,The exhausted athletes who the coaches trained energetically wake their teammates.,11,standard_object_d,280
12,17,daily routine,plural,present,The athletes who heard the news that were useful wake their teammates.,12,nested_subject_a,281
12,18,daily routine,plural,present,The athletes who heard the news that were useful energetically wake their teammates.,13,nested_subject_b,282
12,19,daily routine,plural,present,The exhausted athletes who heard the news that were useful wake their teammates.,13,nested_subject_c,283
12,20,daily routine,plural,present,The exhausted athletes who heard the news that were useful energetically wake their teammates.,14,nested_subject_d,284
12,21,daily routine,plural,present,The athletes who the trainers who the physicians taught recommended wake their teammates.,13,nested_object_a,285
12,22,daily routine,plural,present,The athletes who the trainers who the physicians taught recommended energetically wake their teammates.,14,nested_object_b,286
12,23,daily routine,plural,present,The exhausted athletes who the trainers who the physicians taught recommended wake their teammates.,14,nested_object_c,287
12,24,daily routine,plural,present,The exhausted athletes who the trainers who the physicians taught recommended energetically wake their teammates.,15,nested_object_d,288
13,1,daily routine,singular,past,The woman ate breakfast.,5,baseline_a,289
13,2,daily routine,singular,past,The woman slowly ate breakfast.,6,baseline_b,290
13,3,daily routine,singular,past,The young woman ate breakfast.,6,baseline_c,291
13,4,daily routine,singular,past,The young woman slowly ate breakfast.,7,baseline_d,292
13,5,daily routine,singular,past,The woman in the kitchen ate breakfast.,8,control_a,293
13,6,daily routine,singular,past,The woman in the kitchen slowly ate breakfast.,9,control_b,294
13,7,daily routine,singular,past,The young woman in the kitchen ate breakfast.,9,control_c,295
13,8,daily routine,singular,past,The young woman in the kitchen slowly ate breakfast.,10,control_d,296
13,9,daily routine,singular,past,The woman who woke up early ate breakfast.,9,standard_subject_a,297
13,10,daily routine,singular,past,The woman who woke up early slowly ate breakfast.,10,standard_subject_b,298
13,11,daily routine,singular,past,The young woman who woke up early ate breakfast.,10,standard_subject_c,299
13,12,daily routine,singular,past,The young woman who woke up early slowly ate breakfast.,11,standard_subject_d,300
13,13,daily routine,singular,past,The woman who the nurse helped ate breakfast.,9,standard_object_a,301
13,14,daily routine,singular,past,The woman who the nurse helped slowly ate breakfast.,10,standard_object_b,302
13,15,daily routine,singular,past,The young woman who the nurse helped ate breakfast.,10,standard_object_c,303
13,16,daily routine,singular,past,The young woman who the nurse helped slowly ate breakfast.,11,standard_object_d,304
13,17,daily routine,singular,past,The woman who made the smoothie that was in the blender ate breakfast.,14,nested_subject_a,305
13,18,daily routine,singular,past,The woman who made the smoothie that was in the blender slowly ate breakfast.,15,nested_subject_b,306
13,19,daily routine,singular,past,The young woman who made the smoothie that was in the blender ate breakfast.,15,nested_subject_c,307
13,20,daily routine,singular,past,The young woman who made the smoothie that was in the blender slowly ate breakfast.,16,nested_subject_d,308
13,21,daily routine,singular,past,The woman who the aunt who the handyman trusted visited ate breakfast.,13,nested_object_a,309
13,22,daily routine,singular,past,The woman who the aunt who the handyman trusted visited slowly ate breakfast.,14,nested_object_b,310
13,23,daily routine,singular,past,The young woman who the aunt who the handyman trusted visited ate breakfast.,14,nested_object_c,311
13,24,daily routine,singular,past,The young woman who the aunt who the handyman trusted visited slowly ate breakfast.,15,nested_object_d,312
14,1,daily routine,singular,present,The father makes breakfast.,4,baseline_a,313
14,2,daily routine,singular,present,The father meticulously makes breakfast for the kids.,5,baseline_b,314
