set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,sentence_id,audio_filename,before_semantic_switch_sentence
2,8,art,plural,present,The talented artists in the studios quickly paint new images.,10,control_d,32,ctr_00031,ctr_00031.wav,The talented artists in the studios quickly paint new pictures.
2,9,art,plural,present,The creators who practice every day paint new images.,9,standard_subject_a,33,ctr_00032,ctr_00032.wav,The artists who practice every day paint new pictures.
2,10,art,plural,present,The artists who rehearse every day quickly paint new pictures.,10,standard_subject_b,34,ctr_00033,ctr_00033.wav,The artists who practice every day quickly paint new pictures.
2,11,art,plural,present,The talented artists who train every day paint fresh pictures.,10,standard_subject_c,35,ctr_00034,ctr_00034.wav,The talented artists who practice every day paint new pictures.
2,12,art,plural,present,The skilled artists who train every day rapidly paint new images.,11,standard_subject_d,36,ctr_00035,ctr_00035.wav,The talented artists who practice every day quickly paint new pictures.
2,13,art,plural,present,The artists who the gallery owners employ create new pictures.,10,standard_object_a,37,ctr_00036,ctr_00036.wav,The artists who the gallery owners hire paint new pictures.
2,14,art,plural,present,The artists who the gallery owners employ quickly paint new images.,11,standard_object_b,38,ctr_00037,ctr_00037.wav,The artists who the gallery owners hire quickly paint new pictures.
2,15,art,plural,present,The skilled artists who the gallery owners hire paint fresh images.,11,standard_object_c,39,ctr_00038,ctr_00038.wav,The talented artists who the gallery owners hire paint new pictures.
2,16,art,plural,present,The talented artists who the gallery owners employ rapidly create new images.,12,standard_object_d,40,ctr_00039,ctr_00039.wav,The talented artists who the gallery owners hire quickly paint new pictures.
2,17,art,plural,present,The creators who perused the books that are on the racks paint new images.,14,nested_subject_a,41,ctr_00040,ctr_00040.wav,The artists who read the books that are on the shelves paint new pictures.
2,18,art,plural,present,The creators who read the books that are on the shelves swiftly depict new images.,15,nested_subject_b,42,ctr_00041,ctr_00041.wav,The artists who read the books that are on the shelves quickly paint new pictures.
2,19,art,plural,present,The talented artists who read the books that are on the shelves paint new images.,15,nested_subject_c,43,ctr_00042,ctr_00042.wav,The talented artists who read the books that are on the shelves paint new pictures.
2,20,art,plural,present,The gifted artists who read the books that are on the shelves quickly paint fresh pictures.,16,nested_subject_d,44,ctr_00043,ctr_00043.wav,The talented artists who read the books that are on the shelves quickly paint new pictures.
3,1,art,singular,past,The painter created the statue.,5,baseline_a,49,ctr_00048,ctr_00048.wav,The painter created the sculpture.
3,2,art,singular,past,The artist quickly made the statue.,6,baseline_b,50,ctr_00049,ctr_00049.wav,The painter quickly created the sculpture.
3,3,art,singular,past,The gifted painter produced the sculpture.,6,baseline_c,51,ctr_00050,ctr_00050.wav,The talented painter created the sculpture.
3,4,art,singular,past,The skilled painter quickly made the sculpture.,7,baseline_d,52,ctr_00051,ctr_00051.wav,The talented painter quickly created the sculpture.
3,5,art,singular,past,The artist in the attic created the sculpture.,8,control_a,53,ctr_00052,ctr_00052.wav,The painter in the attic created the sculpture.
3,6,art,singular,past,The artist in the attic quickly created the statue.,9,control_b,54,ctr_00053,ctr_00053.wav,The painter in the attic quickly created the sculpture.
3,7,art,singular,past,The talented painter in the attic made the sculpture.,9,control_c,55,ctr_00054,ctr_00054.wav,The talented painter in the attic created the sculpture.
3,8,art,singular,past,The talented painter in the attic rapidly created the sculpture.,10,control_d,56,ctr_00055,ctr_00055.wav,The talented painter in the attic quickly created the sculpture.
3,9,art,singular,past,The painter who rehearsed daily crafted the statue.,8,standard_subject_a,57,ctr_00056,ctr_00056.wav,The painter who practiced daily created the sculpture.
3,10,art,singular,past,The painter who rehearsed regularly swiftly created the sculpture.,9,standard_subject_b,58,ctr_00057,ctr_00057.wav,The painter who practiced daily quickly created the sculpture.
3,11,art,singular,past,The skilled painter who trained daily produced the sculpture.,9,standard_subject_c,59,ctr_00058,ctr_00058.wav,The talented painter who practiced daily created the sculpture.
3,12,art,singular,past,The skilled painter who practiced daily rapidly created the sculpture.,10,standard_subject_d,60,ctr_00059,ctr_00059.wav,The talented painter who practiced daily quickly created the sculpture.
3,13,art,singular,past,The artist who the curator hired created the sculpture.,9,standard_object_a,61,ctr_00060,ctr_00060.wav,The painter who the curator hired created the sculpture.
3,14,art,singular,past,The artist who the curator employed rapidly created the sculpture.,10,standard_object_b,62,ctr_00061,ctr_00061.wav,The painter who the curator hired quickly created the sculpture.
3,15,art,singular,past,The skilled painter who the curator employed created the sculpture.,10,standard_object_c,63,ctr_00062,ctr_00062.wav,The talented painter who the curator hired created the sculpture.
3,16,art,singular,past,The talented painter who the curator employed rapidly crafted the sculpture.,11,standard_object_d,64,ctr_00063,ctr_00063.wav,The talented painter who the curator hired quickly created the sculpture.
3,17,art,singular,past,The artist who studied the techniques that were in the book created the statue.,14,nested_subject_a,65,ctr_00064,ctr_00064.wav,The painter who studied the techniques that were in the book created the sculpture.
3,18,art,singular,past,The painter who learned the method that was in the book swiftly crafted the statue.,15,nested_subject_b,66,ctr_00065,ctr_00065.wav,The painter who studied the technique that was in the book quickly created the sculpture.
3,19,art,singular,past,The talented painter who studied the technique that was in the book created the sculpture.,15,nested_subject_c,67,ctr_00066,ctr_00066.wav,The talented painter who studied the technique that was in the book created the sculpture.
3,20,art,singular,past,The gifted painter who learned the technique that was in the book rapidly produced the sculpture.,16,nested_subject_d,68,ctr_00067,ctr_00067.wav,The talented painter who studied the technique that was in the book quickly created the sculpture.
4,1,art,plural,past,The guitarists performed a new song.,6,baseline_a,73,ctr_00072,ctr_00072.wav,The guitarists played a new song.
4,2,art,plural,past,The musicians expertly performed a new tune.,7,baseline_b,74,ctr_00073,ctr_00073.wav,The guitarists skillfully played a new song.
4,3,art,plural,past,The creative musicians played a fresh tune.,7,baseline_c,75,ctr_00074,ctr_00074.wav,The creative guitarists played a new song.
4,4,art,plural,past,The creative guitarists skillfully played a fresh song.,8,baseline_d,76,ctr_00075,ctr_00075.wav,The creative guitarists skillfully played a new song.
4,5,art,plural,past,The guitarists in the studio performed a new song.,9,control_a,77,ctr_00076,ctr_00076.wav,The guitarists in the studio played a new song.
4,6,art,plural,past,The guitarists in the studio skillfully played a new song.,10,control_b,78,ctr_00077,ctr_00077.wav,The guitarists in the studio skillfully played a new song.
4,7,art,plural,past,The imaginative guitarists in the studio played a fresh song.,10,control_c,79,ctr_00078,ctr_00078.wav,The creative guitarists in the studio played a new song.
4,8,art,plural,past,The imaginative guitarists in the studio expertly performed a new song.,11,control_d,80,ctr_00079,ctr_00079.wav,The creative guitarists in the studio skillfully played a new song.
4,9,art,plural,past,The musicians who learned music played a fresh tune.,9,standard_subject_a,81,ctr_00080,ctr_00080.wav,The guitarists who studied music played a new song.
4,10,art,plural,past,The musicians who studied music skillfully played a new tune.,10,standard_subject_b,82,ctr_00081,ctr_00081.wav,The guitarists who studied music skillfully played a new song.
4,11,art,plural,past,The innovative guitarists who studied music played a new song.,10,standard_subject_c,83,ctr_00082,ctr_00082.wav,The creative guitarists who studied music played a new song.
4,12,art,plural,past,The creative guitarists who studied music skillfully performed a new song.,11,standard_subject_d,84,ctr_00083,ctr_00083.wav,The creative guitarists who studied music skillfully played a new song.
4,13,art,plural,past,The guitarists who the singers discovered played a new song.,10,standard_object_a,85,ctr_00084,ctr_00084.wav,The guitarists who the singers found played a new song.
4,14,art,plural,past,The guitarists who the singers found skillfully played a new song.,11,standard_object_b,86,ctr_00085,ctr_00085.wav,The guitarists who the singers found skillfully played a new song.
4,15,art,plural,past,The innovative guitarists who the singers discovered played a fresh song.,11,standard_object_c,87,ctr_00086,ctr_00086.wav,The creative guitarists who the singers found played a new song.
4,16,art,plural,past,The creative guitarists who the singers found expertly played a fresh song.,12,standard_object_d,88,ctr_00087,ctr_00087.wav,The creative guitarists who the singers found skillfully played a new song.
4,17,art,plural,past,The musicians who put together the band that had success played a new song.,14,nested_subject_a,89,ctr_00088,ctr_00088.wav,The guitarists who put together the band that had success played a new song.
4,18,art,plural,past,The musicians who put together the band that had success expertly played a new tune.,15,nested_subject_b,90,ctr_00089,ctr_00089.wav,The guitarists who put together the band that had success skillfully played a new song.
4,19,art,plural,past,The creative guitarists who put together the band that had success played a fresh song.,15,nested_subject_c,91,ctr_00090,ctr_00090.wav,The creative guitarists who put together the band that had success played a new song.
4,20,art,plural,past,The creative guitarists who put together the band that had success skillfully played a fresh song.,16,nested_subject_d,92,ctr_00091,ctr_00091.wav,The creative guitarists who put together the band that had success skillfully played a new song.
5,1,basic,plural,past,The parents cooked the meal.,5,baseline_a,97,ctr_00096,ctr_00096.wav,The parents cooked the meal.
5,2,basic,plural,past,The guardians gradually prepared the dish.,6,baseline_b,98,ctr_00097,ctr_00097.wav,The parents slowly cooked the meal.
5,3,basic,plural,past,The elderly guardians cooked the meal.,6,baseline_c,99,ctr_00098,ctr_00098.wav,The elderly parents cooked the meal.
5,4,basic,plural,past,The aged parents slowly prepared the dish.,7,baseline_d,100,ctr_00099,ctr_00099.wav,The elderly parents slowly cooked the meal.
5,5,basic,plural,past,The parents in the kitchen prepared the meal.,8,control_a,101,ctr_00100,ctr_00100.wav,The parents in the kitchen cooked the meal.
5,6,basic,plural,past,The guardians in the kitchen slowly cooked the dish.,9,control_b,102,ctr_00101,ctr_00101.wav,The parents in the kitchen slowly cooked the meal.
5,7,basic,plural,past,The elderly parents in the kitchen prepared the meal.,9,control_c,103,ctr_00102,ctr_00102.wav,The elderly parents in the kitchen cooked the meal.
5,8,basic,plural,past,The aged parents in the kitchen gradually cooked the meal.,10,control_d,104,ctr_00103,ctr_00103.wav,The elderly parents in the kitchen slowly cooked the meal.
5,9,basic,plural,past,The guardians who learned cooking cooked the dish.,8,standard_subject_a,105,ctr_00104,ctr_00104.wav,The parents who studied cooking cooked the meal.
5,10,basic,plural,past,The parents who practiced culinary gradually cooked the meal.,9,standard_subject_b,106,ctr_00105,ctr_00105.wav,The parents who studied cooking slowly cooked the meal.
5,11,basic,plural,past,The aged parents who studied cooking prepared the dish.,9,standard_subject_c,107,ctr_00106,ctr_00106.wav,The elderly parents who studied cooking cooked the meal.
5,12,basic,plural,past,The elderly parents who learned cooking slowly cooked the dish.,10,standard_subject_d,108,ctr_00107,ctr_00107.wav,The elderly parents who studied cooking slowly cooked the meal.
5,13,basic,plural,past,The guardians who the guests visited prepared the dinner.,9,standard_object_a,109,ctr_00108,ctr_00108.wav,The parents who the guests visited cooked the meal.
5,14,basic,plural,past,The parents who the guests visited slowly cooked the meal.,10,standard_object_b,110,ctr_00109,ctr_00109.wav,The parents who the guests visited slowly cooked the meal.
5,15,basic,plural,past,The elderly parents who theguests visited prepared the meal.,10,standard_object_c,111,ctr_00110,ctr_00110.wav,The elderly parents who theguests visited cooked the meal.
5,16,basic,plural,past,The elderly guardians who the guests called slowly cooked the dish.,11,standard_object_d,112,ctr_00111,ctr_00111.wav,The elderly parents who the guests visited slowly cooked the meal.
5,17,basic,plural,past,The guardians who saw the dishes that were in the book prepared the meal.,14,nested_subject_a,113,ctr_00112,ctr_00112.wav,The parents who saw the recipes that were in the book cooked the meal.
5,18,basic,plural,past,The guardians who saw the recipes that were in the book slowly prepared the meal.,15,nested_subject_b,114,ctr_00113,ctr_00113.wav,The parents who saw the recipes that were in the book slowly cooked the meal.
5,19,basic,plural,past,The aged parents who saw the recipes that were in the book cooked the meal.,15,nested_subject_c,115,ctr_00114,ctr_00114.wav,The elderly parents who saw the recipes that were in the book cooked the meal.
5,20,basic,plural,past,The elderly parents who saw the recipes that were in the book slowly prepared the meal.,16,nested_subject_d,116,ctr_00115,ctr_00115.wav,The elderly parents who saw the recipes that were in the book slowly cooked the meal.
6,1,basic,singular,present,The teacher eats a sandwich.,5,baseline_a,121,ctr_00120,ctr_00120.wav,The teacher eats a sandwich.
6,2,basic,singular,present,The instructor gently consumes a sandwich.,6,baseline_b,122,ctr_00121,ctr_00121.wav,The teacher delicately eats a sandwich.
6,3,basic,singular,present,The nice instructor eats a sandwich.,6,baseline_c,123,ctr_00122,ctr_00122.wav,The nice teacher eats a sandwich.
6,4,basic,singular,present,The nice teacher delicately consumes a sandwich.,7,baseline_d,124,ctr_00123,ctr_00123.wav,The nice teacher delicately eats a sandwich.
6,5,basic,singular,present,The teacher at home eats a sub.,7,control_a,125,ctr_00124,ctr_00124.wav,The teacher at home eats a sandwich.
6,6,basic,singular,present,The teacher at home gently eats a sandwich.,8,control_b,126,ctr_00125,ctr_00125.wav,The teacher at home delicately eats a sandwich.
6,7,basic,singular,present,The pleasant instructor at home eats a sandwich.,8,control_c,127,ctr_00126,ctr_00126.wav,The nice teacher at home eats a sandwich.
6,8,basic,singular,present,The nice teacher at home delicately eats a sandwich.,9,control_d,128,ctr_00127,ctr_00127.wav,The nice teacher at home delicately eats a sandwich.
6,9,basic,singular,present,The instructor who perused volumes eats a sandwich.,8,standard_subject_a,129,ctr_00128,ctr_00128.wav,The teacher who read books eats a sandwich.
6,10,basic,singular,present,The instructor who read books gently eats a sandwich.,9,standard_subject_b,130,ctr_00129,ctr_00129.wav,The teacher who read books delicately eats a sandwich.
6,11,basic,singular,present,The pleasant teacher who perused books eats a sandwich.,9,standard_subject_c,131,ctr_00130,ctr_00130.wav,The nice teacher who read books eats a sandwich.
6,12,basic,singular,present,The pleasant instructor who perused books gently consumes a sandwich.,10,standard_subject_d,132,ctr_00131,ctr_00131.wav,The nice teacher who read books delicately eats a sandwich.
6,13,basic,singular,present,The instructor who the student respected eats a sandwich.,9,standard_object_a,133,ctr_00132,ctr_00132.wav,The teacher who the student respected eats a sandwich.
6,14,basic,singular,present,The teacher who the student respected gently eats a sandwich.,10,standard_object_b,134,ctr_00133,ctr_00133.wav,The teacher who the student respected delicately eats a sandwich.
6,15,basic,singular,present,The pleasant instructor who the student admired consumes a sandwich.,10,standard_object_c,135,ctr_00134,ctr_00134.wav,The nice teacher who the student respected eats a sandwich.
6,16,basic,singular,present,The nice teacher who the student admired delicately consumes a sandwich.,11,standard_object_d,136,ctr_00135,ctr_00135.wav,The nice teacher who the student respected delicately eats a sandwich.
6,17,basic,singular,present,The instructor who studied the textbook that was on the shelf consumes a sandwich.,14,nested_subject_a,137,ctr_00136,ctr_00136.wav,The teacher who studied the textbook that was on the shelf eats a sandwich.
6,18,basic,singular,present,The teacher who studied the textbook that was on the shelf delicately consumes a sandwich.,15,nested_subject_b,138,ctr_00137,ctr_00137.wav,The teacher who studied the textbook that was on the shelf delicately eats a sandwich.
6,19,basic,singular,present,The pleasant teacher who studied the textbook that was on the shelf consumes a sandwich.,15,nested_subject_c,139,ctr_00138,ctr_00138.wav,The nice teacher who studied the textbook that was on the shelf eats a sandwich.
6,20,basic,singular,present,The pleasant instructor who reviewed the textbook that was on the shelf daintily eats a sandwich.,16,nested_subject_d,140,ctr_00139,ctr_00139.wav,The nice teacher who studied the textbook that was on the shelf delicately eats a sandwich.
7,1,communication,plural,past,The orators used their devices yesterday.,6,baseline_a,145,ctr_00144,ctr_00144.wav,The speakers used their phones yesterday.
7,2,communication,plural,past,The speakers immediately utilized their phones yesterday.,7,baseline_b,146,ctr_00145,ctr_00145.wav,The speakers immediately used their phones yesterday.
7,3,communication,plural,past,The skilled speakers utilized their phones yesterday.,7,baseline_c,147,ctr_00146,ctr_00146.wav,The skilled speakers used their phones yesterday.
7,4,communication,plural,past,The expert speakers instantly used their phones yesterday.,8,baseline_d,148,ctr_00147,ctr_00147.wav,The skilled speakers immediately used their phones yesterday.
7,5,communication,plural,past,The speakers in the offices utilized their phones previously.,9,control_a,149,ctr_00148,ctr_00148.wav,The speakers in the offices used their phones yesterday.
7,6,communication,plural,past,The speakers in the offices promptly used their phones yesterday.,10,control_b,150,ctr_00149,ctr_00149.wav,The speakers in the offices immediately used their phones yesterday.
7,7,communication,plural,past,The skilled speakers in the offices used their phones yesterday.,10,control_c,151,ctr_00150,ctr_00150.wav,The skilled speakers in the offices used their phones yesterday.
7,8,communication,plural,past,The talented orators in the offices promptly used their phones yesterday.,11,control_d,152,ctr_00151,ctr_00151.wav,The skilled speakers in the offices immediately used their phones yesterday.
7,9,communication,plural,past,The speakers who studied linguistics used their phones yesterday.,9,standard_subject_a,153,ctr_00152,ctr_00152.wav,The speakers who studied linguistics used their phones yesterday.
7,10,communication,plural,past,The speakers who studied linguistics immediately used their phones yesterday.,10,standard_subject_b,154,ctr_00153,ctr_00153.wav,The speakers who studied linguistics immediately used their phones yesterday.
7,11,communication,plural,past,The expert speakers who studied linguistics used their phones yesterday.,10,standard_subject_c,155,ctr_00154,ctr_00154.wav,The skilled speakers who studied linguistics used their phones yesterday.
7,12,communication,plural,past,The expert speakers who studied linguistics instantly used their phones yesterday.,11,standard_subject_d,156,ctr_00155,ctr_00155.wav,The skilled speakers who studied linguistics immediately used their phones yesterday.
7,13,communication,plural,past,The speakers who the managers coached used their phones yesterday.,10,standard_object_a,157,ctr_00156,ctr_00156.wav,The speakers who the managers trained used their phones yesterday.
7,14,communication,plural,past,The speakers who the managers trained immediately used their phones yesterday.,11,standard_object_b,158,ctr_00157,ctr_00157.wav,The speakers who the managers trained immediately used their phones yesterday.
7,15,communication,plural,past,The proficient speakers who the managers coached used their phones yesterday.,11,standard_object_c,159,ctr_00158,ctr_00158.wav,The skilled speakers who the managers trained used their phones yesterday.
7,16,communication,plural,past,The skilled speakers who the managers coached immediately used their phones yesterday.,12,standard_object_d,160,ctr_00159,ctr_00159.wav,The skilled speakers who the managers trained immediately used their phones yesterday.
7,17,communication,plural,past,The speakers who read the documents that explained grammar used their phones yesterday.,13,nested_subject_a,161,ctr_00160,ctr_00160.wav,The speakers who read the texts that explained grammar used their phones yesterday.
7,18,communication,plural,past,The orators who perused the documents that explained grammar immediately utilized their devices yesterday.,14,nested_subject_b,162,ctr_00161,ctr_00161.wav,The speakers who read the texts that explained grammar immediately used their phones yesterday.
7,19,communication,plural,past,The skilled speakers who read the texts that clarified grammar used their phones yesterday.,14,nested_subject_c,163,ctr_00162,ctr_00162.wav,The skilled speakers who read the texts that explained grammar used their phones yesterday.
7,20,communication,plural,past,The proficient speakers who perused the documents that clarified grammar immediately utilized their phones yesterday.,15,nested_subject_d,164,ctr_00163,ctr_00163.wav,The skilled speakers who read the texts that explained grammar immediately used their phones yesterday.
8,1,communication,plural,present,People send text messages on phones.,6,baseline_a,169,ctr_00168,ctr_00168.wav,People send text messages on phones.
8,2,communication,plural,present,Individuals casually dispatch message texts on phones.,7,baseline_b,170,ctr_00169,ctr_00169.wav,People casually send text messages on phones.
8,3,communication,plural,present,Energetic individuals dispatch text messages on devices.,7,baseline_c,171,ctr_00170,ctr_00170.wav,Active people send text messages on phones.
8,4,communication,plural,present,Energetic individuals informally send text notes on devices.,8,baseline_d,172,ctr_00171,ctr_00171.wav,Active people casually send text messages on phones.
8,5,communication,plural,present,People in offices dispatch text messages on phones.,8,control_a,173,ctr_00172,ctr_00172.wav,People in offices send text messages on phones.
8,6,communication,plural,present,Individuals in offices informally send text communications on devices.,9,control_b,174,ctr_00173,ctr_00173.wav,People in offices casually send text messages on phones.
8,7,communication,plural,present,Active people in offices dispatch text messages on phones.,9,control_c,175,ctr_00174,ctr_00174.wav,Active people in offices send text messages on phones.
8,8,communication,plural,present,Energetic people in offices casually send text messages on phones.,10,control_d,176,ctr_00175,ctr_00175.wav,Active people in offices casually send text messages on phones.
8,9,communication,plural,present,People who studied languages send text messages on phones.,9,standard_subject_a,177,ctr_00176,ctr_00176.wav,People who studied languages send text messages on phones.
8,10,communication,plural,present,Individuals who studied languages casually dispatch message notes on devices.,10,standard_subject_b,178,ctr_00177,ctr_00177.wav,People who studied languages casually send text messages on phones.
8,11,communication,plural,present,Energetic people who learned languages send text messages on phones.,10,standard_subject_c,179,ctr_00178,ctr_00178.wav,Active people who studied languages send text messages on phones.
8,12,communication,plural,present,Energetic people who studied languages casually send text messages on devices.,11,standard_subject_d,180,ctr_00179,ctr_00179.wav,Active people who studied languages casually send text messages on phones.
8,13,communication,plural,present,People who colleagues recommend send text messages on phones.,9,standard_object_a,181,ctr_00180,ctr_00180.wav,People who colleagues recommend send text messages on phones.
8,14,communication,plural,present,People who colleagues recommend casually send text messages on phones.,10,standard_object_b,182,ctr_00181,ctr_00181.wav,People who colleagues recommend casually send text messages on phones.
8,15,communication,plural,present,Active people who colleagues recommend send text messages on phones.,10,standard_object_c,183,ctr_00182,ctr_00182.wav,Active people who colleagues recommend send text messages on phones.
8,16,communication,plural,present,Energetic people who associates recommend casually send text messages on devices.,11,standard_object_d,184,ctr_00183,ctr_00183.wav,Active people who colleagues recommend casually send text messages on phones.
8,17,communication,plural,present,People who peruse articles that generate debates dispatch message communications on phones.,12,nested_subject_a,185,ctr_00184,ctr_00184.wav,People who read articles that generate discussions send text messages on phones.
8,18,communication,plural,present,People who read articles that generate discussions casually send text messages on phones.,13,nested_subject_b,186,ctr_00185,ctr_00185.wav,People who read articles that generate discussions casually send text messages on phones.
8,19,communication,plural,present,Active individuals who peruse pieces that produce debates send text messages on phones.,13,nested_subject_c,187,ctr_00186,ctr_00186.wav,Active people who read articles that generate discussions send text messages on phones.
8,20,communication,plural,present,Energetic people who peruse articles that produce debates casually dispatch text messages on devices.,14,nested_subject_d,188,ctr_00187,ctr_00187.wav,Active people who read articles that generate discussions casually send text messages on phones.
9,1,communication,singular,past,The teacher communicated the trip date to the parents.,5,baseline_a,193,ctr_00192,ctr_00192.wav,The teacher communicated the trip date to the parents.
9,2,communication,singular,past,The teacher deliberately communicated the journey date to the parents.,6,baseline_b,194,ctr_00193,ctr_00193.wav,The teacher deliberately communicated the trip date to the parents.
9,3,communication,singular,past,The skilled instructor communicated the trip date to the parents.,6,baseline_c,195,ctr_00194,ctr_00194.wav,The experienced teacher communicated the trip date to the parents.
9,4,communication,singular,past,The skilled teacher deliberately conveyed the trip date to the parents.,7,baseline_d,196,ctr_00195,ctr_00195.wav,The experienced teacher deliberately communicated the trip date to the parents.
9,5,communication,singular,past,The teacher in the office conveyed the journey date to the guardians.,8,control_a,197,ctr_00196,ctr_00196.wav,The teacher in the office communicated the trip date to the parents.
9,6,communication,singular,past,The instructor in the office intentionally conveyed the journey date to the parents.,9,control_b,198,ctr_00197,ctr_00197.wav,The teacher in the office deliberately communicated the trip date to the parents.
9,7,communication,singular,past,The experienced instructor in the office communicated the journey schedule to the parents.,9,control_c,199,ctr_00198,ctr_00198.wav,The experienced teacher in the office communicated the trip date to the parents.
9,8,communication,singular,past,The experienced teacher in the office deliberately conveyed the trip date to the parents.,10,control_d,200,ctr_00199,ctr_00199.wav,The experienced teacher in the office deliberately communicated the trip date to the parents.
9,9,communication,singular,past,The instructor who organized well communicated the journey date to the parents.,8,standard_subject_a,201,ctr_00200,ctr_00200.wav,The teacher who prepared well communicated the trip date to the parents.
9,10,communication,singular,past,The teacher who prepared well deliberately conveyed the trip date to the guardians.,9,standard_subject_b,202,ctr_00201,ctr_00201.wav,The teacher who prepared well deliberately communicated the trip date to the parents.
9,11,communication,singular,past,The skilled instructor who prepared well communicated the journey date to the parents.,9,standard_subject_c,203,ctr_00202,ctr_00202.wav,The experienced teacher who prepared well communicated the trip date to the parents.
9,12,communication,singular,past,The experienced teacher who readied well intentionally communicated the trip date to the guardians.,10,standard_subject_d,204,ctr_00203,ctr_00203.wav,The experienced teacher who prepared well deliberately communicated the trip date to the parents.
