numerosity,dataset,structure,theme,sentence,audio_filename,tense,num_words,sentence_id
singular,naturalistic,independent,transport,She doesn't like walking because it's too slow for her,nat_01535.wav,present,10,nat_01535
plural,naturalistic,dependent,emotion,The men standing over there are looking very angry,nat_15582.wav,present,9,nat_15582
plural,naturalistic,simple,health,The nurses will take care of the sick children,nat_17897.wav,future,9,nat_17897
plural,naturalistic,dependent,work,Did the workers who joined the union get better benefits?,nat_02766.wav,past,10,nat_02766
singular,naturalistic,simple,humanity,The artist's work was displayed in a gallery,nat_10119.wav,past,8,nat_10119
singular,naturalistic,simple,nature,Will the sun not shine brightly tomorrow morning?,nat_12689.wav,future,8,nat_12689
singular,naturalistic,dependent,emotion,Was the woman who was crying feeling sad?,nat_04461.wav,past,8,nat_04461
plural,naturalistic,independent,transport,The kids loved the amusement park rides while adults watched,nat_08574.wav,past,10,nat_08574
plural,naturalistic,independent,art,They are writing stories because they love to read books,nat_06506.wav,present,10,nat_06506
plural,naturalistic,simple,housing,The houses on this street are very old and historic,nat_15877.wav,present,10,nat_15877
singular,naturalistic,independent,weather,It was not sunny but the sky was still bright,nat_06478.wav,past,10,nat_06478
singular,naturalistic,preposition,basic,Are you going to stand behind me in line?,nat_08306.wav,future,9,nat_08306
singular,naturalistic,simple,nature,The eagle used to soar through the sky every morning,nat_18432.wav,past,10,nat_18432
singular,naturalistic,preposition,humanity,The actor in the movie will not win an award,nat_17613.wav,future,10,nat_17613
singular,naturalistic,preposition,science,Had the astronaut in space eaten breakfast already?,nat_10784.wav,past,8,nat_10784
plural,naturalistic,preposition,emotion,Are the families at the reunion going to be delighted?,nat_05382.wav,future,10,nat_05382
singular,naturalistic,preposition,humanity,A person with no job is not very happy,nat_04842.wav,present,9,nat_04842
plural,naturalistic,dependent,food,The boys weren't hungry after they ate the snacks,nat_03105.wav,past,9,nat_03105
plural,naturalistic,dependent,sport,The cyclists who ride fast are wearing special shoes,nat_07046.wav,present,9,nat_07046
singular,naturalistic,simple,transport,Is she a good driver now?,nat_15219.wav,present,6,nat_15219
singular,naturalistic,independent,basic,The flowers are blooming because spring is here finally,nat_10192.wav,present,9,nat_10192
singular,naturalistic,preposition,relationship,The book of my father is big,nat_13033.wav,present,7,nat_13033
plural,naturalistic,dependent,shopping,They do not offer discounts on the things we buy,nat_00438.wav,present,10,nat_00438
plural,naturalistic,simple,science,Scientists discovered many new species last year,nat_03314.wav,past,7,nat_03314
singular,naturalistic,simple,housing,Was the rent expensive for that apartment?,nat_04128.wav,past,7,nat_04128
singular,naturalistic,dependent,art,He had written a song that became very popular online,nat_03919.wav,past,10,nat_03919
plural,naturalistic,preposition,art,The photos in this exhibition are taken by amateur photographers,nat_16081.wav,present,10,nat_16081
singular,naturalistic,dependent,science,The drone that I bought will have a long battery life,nat_00738.wav,future,11,nat_00738
singular,naturalistic,independent,sport,Wasn't the swimmer tired after swimming so far?,nat_13831.wav,past,8,nat_13831
singular,naturalistic,dependent,food,Is the man sitting at the table hungry?,nat_13175.wav,present,8,nat_13175
plural,naturalistic,dependent,food,Do the kids sitting at that table want more juice?,nat_09922.wav,present,10,nat_09922
singular,naturalistic,simple,humanity,Did the artist not create that painting?,nat_14860.wav,past,7,nat_14860
plural,naturalistic,simple,relationship,Can your kids ride a bike?,nat_01911.wav,present,6,nat_01911
singular,naturalistic,simple,housing,Don't you think the house is too small?,nat_12801.wav,present,8,nat_12801
plural,naturalistic,preposition,transport,Were the taxis not available in the area?,nat_03921.wav,past,8,nat_03921
plural,naturalistic,independent,humanity,People watch TV for entertainment but also learn new things,nat_02622.wav,present,10,nat_02622
singular,naturalistic,independent,health,She didn't like therapy because it was too expensive,nat_09467.wav,past,9,nat_09467
plural,naturalistic,preposition,relationship,The girls on the team are not getting along,nat_15572.wav,present,9,nat_15572
plural,naturalistic,dependent,sport,Can the teams that will be playing in the finals win?,nat_19914.wav,future,11,nat_19914
singular,naturalistic,preposition,food,She does not eat breakfast every morning,nat_02730.wav,present,7,nat_02730
plural,naturalistic,simple,work,Are most jobs available online now?,nat_10180.wav,present,6,nat_10180
plural,naturalistic,preposition,humanity,The artists in the gallery had not sold their paintings,nat_19636.wav,past,10,nat_19636
plural,naturalistic,preposition,food,The men in the village had caught many fish,nat_05194.wav,past,9,nat_05194
plural,naturalistic,preposition,relationship,Do the friends of your brother play sports together?,nat_15318.wav,present,9,nat_15318
singular,naturalistic,simple,basic,My brother plays soccer daily,nat_00409.wav,present,5,nat_00409
plural,naturalistic,preposition,relationship,The kids next to us are our neighbors' children,nat_06373.wav,present,9,nat_06373
singular,naturalistic,independent,sport,The football player will kick hard but the ball will go wide,nat_00322.wav,future,12,nat_00322
plural,naturalistic,preposition,weather,The kids were not playing outside in the cold,nat_01901.wav,past,9,nat_01901
singular,naturalistic,simple,weather,Did she like the autumn leaves?,nat_06409.wav,past,6,nat_06409
singular,naturalistic,simple,relationship,Is my brother not playing outside?,nat_07900.wav,present,6,nat_07900
plural,naturalistic,independent,housing,Did the neighbors hear the noise when the roofers worked?,nat_17291.wav,past,10,nat_17291
plural,naturalistic,dependent,emotion,The feelings that we share will bring us closer together,nat_15484.wav,future,10,nat_15484
plural,naturalistic,preposition,shopping,Did the sales assistants in that shop help your friends?,nat_01530.wav,past,10,nat_01530
plural,naturalistic,independent,nature,Can rivers not flow if mountains are not high enough?,nat_12558.wav,present,10,nat_12558
singular,naturalistic,simple,relationship,I really care about my best friend's feelings,nat_17408.wav,present,8,nat_17408
singular,naturalistic,dependent,emotion,Is she crying because her mom is leaving her?,nat_03024.wav,present,9,nat_03024
singular,naturalistic,independent,art,The painter will not create because she's not inspired,nat_19133.wav,future,9,nat_19133
singular,naturalistic,preposition,nature,Was the squirrel hiding in a hollow tree?,nat_05922.wav,past,8,nat_05922
singular,naturalistic,independent,basic,My mom cooks dinner so I can study for exams,nat_14892.wav,present,10,nat_14892
plural,naturalistic,preposition,work,The people in the meeting will not agree on anything,nat_04768.wav,future,10,nat_04768
plural,naturalistic,dependent,humanity,The companies investing in new technology will see profits rise,nat_19252.wav,future,10,nat_19252
singular,naturalistic,preposition,transport,The scenery outside my car window is beautiful now,nat_05601.wav,present,9,nat_05601
singular,naturalistic,dependent,food,Did you like the dish that I cooked for dinner?,nat_17751.wav,past,10,nat_17751
singular,naturalistic,simple,emotion,My mom doesn't love her job,nat_17365.wav,present,6,nat_17365
plural,naturalistic,simple,weather,Will the meteorologists track a tornado?,nat_01077.wav,future,6,nat_01077
plural,naturalistic,preposition,work,The people without skills will not find a job easily,nat_03769.wav,future,10,nat_03769
plural,naturalistic,preposition,relationship,Do the families on your street know each other?,nat_17763.wav,present,9,nat_17763
plural,naturalistic,preposition,science,Researchers will be studying the effects of climate change soon,nat_10961.wav,future,10,nat_10961
plural,naturalistic,preposition,transport,Do the drivers not know the new traffic rules?,nat_02859.wav,present,9,nat_02859
singular,naturalistic,independent,art,He will buy a new camera because his old one is broken,nat_09002.wav,future,12,nat_09002
plural,naturalistic,preposition,emotion,Were the women at the party feeling happy and carefree?,nat_14791.wav,past,10,nat_14791
plural,naturalistic,dependent,emotion,Will the kids who are playing feel carefree always?,nat_12484.wav,future,9,nat_12484
singular,naturalistic,preposition,emotion,Does she think the book on the table will make her sad?,nat_15947.wav,future,12,nat_15947
plural,naturalistic,dependent,shopping,The items on sale were not what we needed,nat_03410.wav,past,9,nat_03410
singular,naturalistic,preposition,housing,The couch in the living room is not comfortable,nat_02112.wav,present,9,nat_02112
singular,naturalistic,preposition,art,Her imagination runs wild when she is painting a landscape,nat_09016.wav,present,10,nat_09016
plural,naturalistic,dependent,transport,They didn't take the bus that went to the beach,nat_11959.wav,past,10,nat_11959
singular,naturalistic,dependent,sport,Is the man who is running a marathon very tired now?,nat_08251.wav,present,11,nat_08251
plural,naturalistic,dependent,emotion,Are the students who failed going to feel disappointed?,nat_08059.wav,future,9,nat_08059
plural,naturalistic,preposition,emotion,Will the people around her be scared of thunder?,nat_04918.wav,future,9,nat_04918
plural,naturalistic,simple,transport,Will we not be taking a taxi to the hotel?,nat_15335.wav,future,10,nat_15335
plural,naturalistic,preposition,housing,The colors of the walls are very soothing,nat_18072.wav,present,8,nat_18072
singular,naturalistic,dependent,relationship,The girl who shares my room is my sister,nat_16084.wav,present,9,nat_16084
plural,naturalistic,simple,shopping,The prices were lower than expected last week,nat_03725.wav,past,8,nat_03725
singular,naturalistic,simple,food,Will the patient not follow a diet?,nat_15248.wav,future,7,nat_15248
singular,naturalistic,dependent,relationship,My sister was happy when she got married,nat_18940.wav,past,8,nat_18940
plural,naturalistic,independent,work,Students learn new skills in school but also at home every day,nat_04046.wav,present,12,nat_04046
singular,naturalistic,preposition,basic,Did the woman in front of us buy a ticket?,nat_13215.wav,past,10,nat_13215
singular,naturalistic,independent,sport,My sister doesn't like to compete when she's stressed,nat_18027.wav,present,9,nat_18027
singular,naturalistic,dependent,emotion,He had been waiting for his girlfriend eagerly,nat_13464.wav,past,8,nat_13464
singular,naturalistic,dependent,science,The new smartphone will have advanced artificial intelligence features,nat_17538.wav,future,9,nat_17538
plural,naturalistic,preposition,shopping,The items on the shelves were arranged by price,nat_03023.wav,past,9,nat_03023
singular,naturalistic,preposition,nature,The sun will shine brightly over the ocean,nat_03425.wav,future,8,nat_03425
singular,naturalistic,simple,basic,The flowers were not watered today,nat_19847.wav,past,6,nat_19847
plural,naturalistic,preposition,food,Are the people at the festival going to try street food?,nat_13394.wav,future,11,nat_13394
singular,naturalistic,independent,emotion,Was she feeling scared when she watched the horror movie alone?,nat_07462.wav,past,11,nat_07462
plural,naturalistic,simple,food,Were the students allowed to drink soda?,nat_17164.wav,past,7,nat_17164
singular,naturalistic,independent,basic,You didn't invite me to your party,nat_00385.wav,past,7,nat_00385
singular,naturalistic,preposition,humanity,The journalist with the camera is taking photos,nat_08985.wav,present,8,nat_08985
singular,naturalistic,dependent,shopping,Is the price of this item not lower than that one?,nat_06179.wav,present,11,nat_06179
singular,naturalistic,preposition,basic,He had eaten all the cookies in the jar,nat_01512.wav,past,9,nat_01512
plural,naturalistic,dependent,relationship,Did the siblings who shared a room get along well?,nat_02177.wav,past,10,nat_02177
singular,naturalistic,independent,science,The astronomer used a telescope to study stars,nat_03062.wav,past,8,nat_03062
singular,naturalistic,dependent,transport,The boat that I own is very small,nat_07121.wav,present,8,nat_07121
plural,naturalistic,simple,health,Many people were not aware of the disease,nat_13770.wav,past,8,nat_13770
plural,naturalistic,independent,health,We will have more therapists because people need them now,nat_10564.wav,future,10,nat_10564
plural,naturalistic,simple,nature,Do birds migrate to warmer climates?,nat_16295.wav,present,6,nat_16295
singular,naturalistic,simple,nature,The valley is very green now,nat_00351.wav,present,6,nat_00351
plural,naturalistic,simple,emotion,Do the teachers not enjoy their jobs?,nat_09466.wav,present,7,nat_09466
plural,naturalistic,independent,humanity,The artists had not finished their work so they stayed late,nat_08407.wav,past,11,nat_08407
plural,naturalistic,simple,work,They didn't finish their homework last night,nat_14874.wav,past,7,nat_14874
singular,naturalistic,dependent,transport,I love the train that goes to the beach,nat_14233.wav,present,9,nat_14233
plural,naturalistic,preposition,shopping,Many items in that store will not be on sale,nat_18550.wav,future,10,nat_18550
singular,naturalistic,independent,food,Was the coffee hot when it was poured so quickly?,nat_06798.wav,past,10,nat_06798
singular,naturalistic,independent,housing,The bedroom will be cozy when I add some warm lighting,nat_03901.wav,future,11,nat_03901
singular,naturalistic,preposition,emotion,Will she not be excited about her trip?,nat_04509.wav,future,8,nat_04509
singular,naturalistic,preposition,art,Didn't she hate the color of the painting on display?,nat_16800.wav,past,10,nat_16800
plural,naturalistic,simple,shopping,They are not giving discounts to students,nat_00971.wav,present,7,nat_00971
plural,naturalistic,independent,shopping,The products will be cheaper if the customers buy in bulk,nat_19287.wav,future,11,nat_19287
plural,naturalistic,independent,relationship,Parents will attend the meeting so they can meet teachers,nat_03047.wav,future,10,nat_03047
singular,naturalistic,simple,transport,He will ride his bike to work every day,nat_17306.wav,future,9,nat_17306
singular,naturalistic,dependent,housing,The repairman didn't fix the leaky faucet,nat_04653.wav,past,7,nat_04653
singular,naturalistic,preposition,work,A person with experience will be hired for this position easily,nat_02392.wav,future,11,nat_02392
plural,naturalistic,dependent,science,Are the programs that they write not running smoothly?,nat_05786.wav,present,9,nat_05786
singular,naturalistic,independent,relationship,Is my sister not sleeping yet because she's not tired?,nat_18687.wav,present,10,nat_18687
singular,naturalistic,simple,emotion,The man had been feeling anxious lately,nat_18144.wav,past,7,nat_18144
singular,naturalistic,independent,art,Did she learn to dance so she could perform on stage?,nat_01290.wav,past,11,nat_01290
singular,naturalistic,dependent,shopping,The employee who helped me was very knowledgeable,nat_02958.wav,present,8,nat_02958
singular,naturalistic,dependent,weather,Was the air very humid where you were staying?,nat_12634.wav,past,9,nat_12634
singular,naturalistic,dependent,transport,The bike lane that I use will be closed tomorrow,nat_15765.wav,future,10,nat_15765
singular,naturalistic,preposition,relationship,His sister will have eaten dinner already,nat_18169.wav,future,7,nat_18169
singular,naturalistic,dependent,transport,Does she own a car that is very fast?,nat_02712.wav,present,9,nat_02712
singular,naturalistic,simple,nature,A little squirrel had hidden its nuts in the tree,nat_04847.wav,past,10,nat_04847
plural,naturalistic,preposition,food,Are the eggs in the fridge not good to eat?,nat_02252.wav,present,10,nat_02252
plural,naturalistic,independent,weather,The beach is crowded so we go to the park,nat_18838.wav,present,10,nat_18838
plural,naturalistic,independent,food,Many women are not good cooks but they try their best,nat_00960.wav,present,11,nat_00960
plural,naturalistic,independent,art,Had the musicians been playing together since they were kids?,nat_04941.wav,past,10,nat_04941
plural,naturalistic,independent,food,Do chefs cook meals because they love food so much?,nat_10347.wav,present,10,nat_10347
singular,naturalistic,preposition,transport,Was the bus next to you very crowded yesterday?,nat_13863.wav,past,9,nat_13863
singular,naturalistic,preposition,food,The man in the kitchen did not cook,nat_09238.wav,past,8,nat_09238
singular,naturalistic,simple,emotion,His sister is not excited today,nat_16301.wav,present,6,nat_16301
plural,naturalistic,independent,basic,Why did the guests not arrive when we had invited them?,nat_07646.wav,past,11,nat_07646
singular,naturalistic,simple,basic,Will you have finished your homework by then?,nat_10120.wav,future,8,nat_10120
plural,naturalistic,independent,basic,They were leaving when we said goodbye to them,nat_03165.wav,past,9,nat_03165
singular,naturalistic,independent,food,I had eaten lunch but my friend was starving,nat_09397.wav,past,9,nat_09397
singular,naturalistic,simple,transport,Can he ride a bike on the highway?,nat_17687.wav,future,8,nat_17687
plural,naturalistic,dependent,humanity,Are the artists going to create paintings that inspire us?,nat_09252.wav,future,10,nat_09252
plural,naturalistic,simple,science,Were the results of the experiment surprising to them?,nat_14762.wav,past,9,nat_14762
plural,naturalistic,simple,nature,The kids saw many butterflies yesterday,nat_07585.wav,past,6,nat_07585
plural,naturalistic,preposition,emotion,Did the people next to you not feel sad?,nat_04345.wav,past,9,nat_04345
plural,naturalistic,independent,science,The researchers found a solution where others had failed before,nat_03910.wav,past,10,nat_03910
singular,naturalistic,simple,humanity,Will the new policy affect the economy in the future?,nat_16880.wav,future,10,nat_16880
plural,naturalistic,preposition,work,Are the managers going to hire more staff in future?,nat_01968.wav,future,10,nat_01968
singular,naturalistic,simple,nature,Can the rabbit find food in the winter?,nat_16980.wav,future,8,nat_16980
singular,naturalistic,independent,nature,A rabbit will burrow where the ground is soft,nat_10359.wav,future,9,nat_10359
singular,naturalistic,simple,health,Does it still hurt when you cough?,nat_01838.wav,present,7,nat_01838
plural,naturalistic,independent,transport,The tourists will get lost because they do not have maps,nat_12988.wav,future,11,nat_12988
plural,naturalistic,simple,housing,No one will help us move the furniture tomorrow,nat_03649.wav,future,9,nat_03649
plural,naturalistic,preposition,relationship,Our neighbors will become like a second family to us,nat_01805.wav,future,10,nat_01805
plural,naturalistic,preposition,sport,The guys next to me are discussing the football game,nat_10013.wav,present,10,nat_10013
singular,naturalistic,dependent,weather,Is the frost that we see not beautiful?,nat_01114.wav,present,8,nat_01114
plural,naturalistic,preposition,art,The books on the shelf had not been read,nat_19789.wav,past,9,nat_19789
plural,naturalistic,dependent,health,Are the children who play outside less likely to be obese?,nat_16857.wav,future,11,nat_16857
singular,naturalistic,independent,work,The school will organize a career fair where students meet employers,nat_04347.wav,future,11,nat_04347
singular,naturalistic,dependent,relationship,Is the person that my brother dislikes very mean?,nat_10215.wav,present,9,nat_10215
plural,naturalistic,preposition,basic,Are the neighbors going to join our party?,nat_13513.wav,future,8,nat_13513
singular,naturalistic,simple,nature,A bird sings sweet melodies outside,nat_14236.wav,present,6,nat_14236
plural,naturalistic,preposition,shopping,Do the stores on this street sell similar products?,nat_02444.wav,present,9,nat_02444
singular,naturalistic,independent,sport,She eats healthy food because she is an athlete,nat_14529.wav,present,9,nat_14529
singular,naturalistic,dependent,nature,The river had been polluted for many years already,nat_08180.wav,past,9,nat_08180
plural,naturalistic,dependent,food,Will the people on diet eat the salad tonight?,nat_07749.wav,future,9,nat_07749
singular,naturalistic,preposition,weather,The forecast says it will rain all day tomorrow,nat_19163.wav,present,9,nat_19163
singular,naturalistic,preposition,housing,Doesn't she want to buy new furniture now?,nat_08170.wav,present,8,nat_08170
plural,naturalistic,independent,art,The orchestra will play famous music because it is popular,nat_11736.wav,future,10,nat_11736
singular,naturalistic,preposition,sport,She had been practicing yoga for three years already,nat_03394.wav,past,9,nat_03394
singular,naturalistic,preposition,food,Does the man in the kitchen not know how to cook?,nat_08452.wav,future,11,nat_08452
plural,naturalistic,dependent,basic,Can the fans who are cheering get autographs now?,nat_13748.wav,present,9,nat_13748
singular,naturalistic,dependent,science,Can the electric car that he will drive not go far?,nat_19106.wav,future,11,nat_19106
plural,naturalistic,simple,basic,Did the neighbors hear the noise too?,nat_12593.wav,past,7,nat_12593
singular,naturalistic,simple,health,Isn't he on a diet now?,nat_11132.wav,present,6,nat_11132
singular,naturalistic,independent,food,Was the recipe easy to follow if you read carefully?,nat_18095.wav,past,10,nat_18095
singular,naturalistic,simple,work,The job did not pay well enough,nat_16533.wav,past,7,nat_16533
plural,naturalistic,independent,art,Do art teachers give lessons for free or do they get paid?,nat_06733.wav,present,12,nat_06733
singular,naturalistic,independent,health,The woman will not sleep tonight nor will she rest tomorrow,nat_13695.wav,future,11,nat_13695
plural,naturalistic,preposition,basic,The flowers in the vase were given by our friends,nat_05547.wav,past,10,nat_05547
singular,naturalistic,dependent,sport,The athlete who is injured will not participate in the game,nat_01739.wav,future,11,nat_01739
plural,naturalistic,dependent,work,Are the courses that the professors teach interesting and engaging?,nat_17383.wav,present,10,nat_17383
plural,naturalistic,simple,weather,Will the summer be unbearably hot?,nat_12143.wav,future,6,nat_12143
singular,naturalistic,simple,nature,The tree will not bloom this year,nat_18528.wav,future,7,nat_18528
singular,naturalistic,dependent,sport,Will the person who runs the fastest get a big prize?,nat_04450.wav,future,11,nat_04450
singular,naturalistic,preposition,relationship,Won't the brother of my mother be visiting us tomorrow?,nat_11365.wav,future,10,nat_11365
plural,naturalistic,simple,sport,The football players had eaten a big meal before kickoff,nat_16772.wav,past,10,nat_16772
singular,naturalistic,independent,science,The phone wasn't working when I needed it most,nat_11963.wav,past,9,nat_11963
plural,naturalistic,preposition,nature,The forests around the world are shrinking,nat_08845.wav,present,7,nat_08845
singular,naturalistic,simple,basic,The man was very polite to me,nat_15750.wav,past,7,nat_15750
singular,naturalistic,independent,emotion,She didn't go out because she was feeling depressed,nat_18713.wav,past,9,nat_18713
plural,naturalistic,dependent,transport,Those tourists didn't know the roads were closed,nat_07341.wav,past,8,nat_07341
singular,naturalistic,preposition,basic,Was the book on the shelf not interesting?,nat_05380.wav,past,8,nat_05380
plural,naturalistic,dependent,emotion,Did the people who won the contest feel proud?,nat_18450.wav,past,9,nat_18450
singular,naturalistic,preposition,nature,Did the rabbit hide behind a big bush?,nat_10984.wav,past,8,nat_10984
singular,naturalistic,preposition,sport,The boxer in the ring had been fighting for years,nat_10342.wav,past,10,nat_10342
singular,naturalistic,dependent,work,Can someone with no experience get a job in management?,nat_02277.wav,present,10,nat_02277
singular,naturalistic,independent,housing,Does it take long to fix a leaky faucet or not?,nat_16617.wav,present,11,nat_16617
singular,naturalistic,simple,humanity,He will not give a speech tonight,nat_13332.wav,future,7,nat_13332
