theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue,sentence_id,audio_filename,presents_special_char,cluster,list_index
food,declarative,simple,plural,present,affirmative,Most people prefer eating home cooked meals,7,correct,nat_08067,nat_08067.wav,False,1051,0
food,declarative,simple,plural,past,affirmative,The boys had eaten sandwiches for lunch yesterday,8,correct,nat_16592,nat_16592.wav,False,5154,0
transport,declarative,simple,plural,future,affirmative,Buses will have more seats for passengers next year,9,correct,nat_05747,nat_05747.wav,False,909,0
emotion,interrogative,dependent,plural,past,affirmative,Had the men been angry before they started fighting?,9,correct,nat_06951,nat_06951.wav,False,1414,0
food,declarative,simple,singular,future,affirmative,The cake will be ready in thirty minutes,8,correct,nat_03263,nat_03263.wav,False,17,0
emotion,interrogative,independent,singular,past,affirmative,Did he feel relieved because the test was finally over?,10,correct,nat_08086,nat_08086.wav,False,245,0
emotion,declarative,simple,singular,future,negative,He will never forgive his brother,6,correct,nat_01772,nat_01772.wav,False,781,0
art,declarative,preposition,plural,future,affirmative,The sculptures of these students will be displayed next month,10,correct,nat_19360,nat_19360.wav,False,1895,0
art,declarative,simple,plural,present,affirmative,The students are learning about art history now,8,correct,nat_01184,nat_01184.wav,False,1996,0
housing,interrogative,simple,singular,future,affirmative,Does she plan to buy a new sofa?,8,correct,nat_18786,nat_18786.wav,False,2148,0
relationship,interrogative,dependent,plural,present,affirmative,Do the men in your family have any sisters?,9,correct,nat_14518,nat_14518.wav,False,1085,0
basic,interrogative,preposition,plural,present,affirmative,Do the students in your group have questions?,8,correct,nat_05517,nat_05517.wav,False,421,0
nature,declarative,independent,singular,past,affirmative,The sun rose so the day began,7,correct,nat_14694,nat_14694.wav,False,685,0
art,declarative,preposition,plural,future,affirmative,The students will make their own sculptures in class tomorrow,10,correct,nat_19375,nat_19375.wav,False,98,0
shopping,interrogative,dependent,plural,past,affirmative,Were the services that they offered better than before?,9,correct,nat_02168,nat_02168.wav,False,203,0
health,declarative,dependent,singular,future,affirmative,His sister will be eating healthier food from now on,10,correct,nat_06452,nat_06452.wav,False,4337,0
humanity,interrogative,dependent,singular,present,affirmative,Is the museum that we visited yesterday open today?,9,correct,nat_16716,nat_16716.wav,False,913,0
weather,interrogative,preposition,plural,future,affirmative,Do the birds change their behavior in autumn?,8,correct,nat_17210,nat_17210.wav,False,2562,0
science,interrogative,simple,plural,future,affirmative,Will doctors use robots to perform surgeries?,7,correct,nat_02115,nat_02115.wav,False,3079,0
science,interrogative,dependent,plural,future,negative,Are the computers they will buy not going to be fast?,11,correct,nat_08141,nat_08141.wav,False,1072,0
weather,interrogative,preposition,singular,present,affirmative,Are you sweating a lot in this heat wave?,9,correct,nat_16526,nat_16526.wav,False,1357,0
humanity,declarative,preposition,plural,future,affirmative,The prices of houses will increase over the next decade,10,correct,nat_01138,nat_01138.wav,False,18,0
art,interrogative,simple,plural,future,affirmative,Will the choir be singing at the art festival next month?,11,correct,nat_02593,nat_02593.wav,False,3318,0
emotion,declarative,independent,singular,present,affirmative,The baby laughs so hard when she sees a silly clown,11,correct,nat_19578,nat_19578.wav,False,2014,0
housing,declarative,independent,singular,past,affirmative,The house was cold so I turned up the heating system,11,correct,nat_08011,nat_08011.wav,False,906,0
work,interrogative,preposition,singular,present,affirmative,Is the woman in front of us a professor?,9,correct,nat_05721,nat_05721.wav,False,1333,0
humanity,declarative,simple,singular,past,affirmative,The ancient temple was built on a hilltop,8,correct,nat_10301,nat_10301.wav,False,2144,0
art,interrogative,independent,singular,present,affirmative,Is he a musician because he loves his job?,9,correct,nat_16328,nat_16328.wav,False,3429,0
work,interrogative,dependent,plural,present,affirmative,Do the companies that hire new employees provide good training?,10,correct,nat_03543,nat_03543.wav,False,2409,0
health,interrogative,independent,singular,present,affirmative,Why do I feel tired if I sleep for eight hours?,11,correct,nat_01728,nat_01728.wav,False,3124,0
nature,declarative,simple,plural,future,affirmative,The squirrels will store food for winter,7,correct,nat_03121,nat_03121.wav,False,3931,0
relationship,declarative,dependent,singular,past,affirmative,The boy I played with was my nephew,8,correct,nat_17102,nat_17102.wav,False,801,0
shopping,declarative,dependent,plural,past,affirmative,The people who worked at the store were helpful employees,10,correct,nat_14345,nat_14345.wav,False,4268,0
relationship,interrogative,preposition,singular,present,negative,Does she not live near her family now?,8,correct,nat_19262,nat_19262.wav,False,4552,0
health,interrogative,independent,singular,past,affirmative,Was her sister in therapy because of her phobia?,9,correct,nat_09453,nat_09453.wav,False,2274,0
art,interrogative,simple,singular,past,affirmative,Was the violin made by a skilled craftsman?,8,correct,nat_19138,nat_19138.wav,False,4817,0
nature,declarative,preposition,plural,future,affirmative,Many trees will grow on the mountain slopes,8,correct,nat_05344,nat_05344.wav,False,1402,0
humanity,declarative,dependent,plural,present,affirmative,People who study economics understand how markets work,8,correct,nat_05540,nat_05540.wav,False,1296,0
relationship,interrogative,preposition,singular,present,affirmative,Is she a good friend of yours?,7,correct,nat_19693,nat_19693.wav,False,1294,0
basic,declarative,simple,plural,past,negative,The kids were not laughing loudly outside,7,correct,nat_13081,nat_13081.wav,False,4712,0
weather,declarative,simple,plural,present,negative,The flowers are not blooming because of frost,8,correct,nat_15126,nat_15126.wav,False,51,0
emotion,declarative,preposition,plural,present,affirmative,The women above thirty are more confident now,8,correct,nat_02447,nat_02447.wav,False,1150,0
humanity,interrogative,preposition,singular,future,affirmative,Is the economy expected to grow in the next year?,10,correct,nat_07559,nat_07559.wav,False,175,0
weather,declarative,preposition,singular,future,negative,The heat wave will not last all summer,8,correct,nat_07000,nat_07000.wav,False,1357,0
basic,declarative,simple,plural,present,affirmative,Students learn new things every day,6,correct,nat_07205,nat_07205.wav,False,2561,0
weather,declarative,independent,singular,past,negative,It was not warm but the sun was shining brightly yesterday,11,correct,nat_02571,nat_02571.wav,False,2994,0
sport,declarative,independent,plural,past,affirmative,They played soccer but their friends watched basketball,8,correct,nat_11749,nat_11749.wav,False,5137,0
weather,interrogative,simple,plural,past,negative,Did the storms not cause damage last year?,8,correct,nat_15369,nat_15369.wav,False,3238,0
shopping,interrogative,simple,singular,future,affirmative,Will the new store sell electronic devices?,7,correct,nat_03787,nat_03787.wav,False,2692,0
humanity,interrogative,dependent,plural,future,affirmative,Are the tourists going to visit museums that have ancient artifacts?,11,correct,nat_06557,nat_06557.wav,False,900,0
work,declarative,preposition,singular,present,negative,The teacher of my brother is not very nice,9,correct,nat_18751,nat_18751.wav,False,1289,0
basic,declarative,dependent,plural,present,negative,We do not have the books that you need,9,correct,nat_12562,nat_12562.wav,False,347,0
art,interrogative,dependent,singular,present,affirmative,Can you see the sculpture that she made last year?,10,correct,nat_00473,nat_00473.wav,False,209,0
housing,declarative,independent,singular,future,affirmative,She will buy a new sofa because the old one broke,11,correct,nat_02452,nat_02452.wav,False,2148,0
housing,declarative,preposition,singular,past,negative,The house on the hill was not for sale,9,correct,nat_10952,nat_10952.wav,False,2116,0
housing,declarative,independent,singular,future,affirmative,The house will be clean when I finish the chores tonight,11,correct,nat_02451,nat_02451.wav,False,1318,0
relationship,interrogative,independent,plural,present,affirmative,Are our parents proud of us when we achieve something big or small?,13,correct,nat_13276,nat_13276.wav,False,3755,0
art,declarative,dependent,singular,future,negative,The art student will not get a scholarship this semester,10,correct,nat_00346,nat_00346.wav,False,436,0
housing,declarative,simple,singular,future,affirmative,The living room will have a nice view,8,correct,nat_18335,nat_18335.wav,False,173,0
sport,interrogative,independent,plural,present,affirmative,Why do players get tired when they run fast?,9,correct,nat_18644,nat_18644.wav,False,1306,0
emotion,interrogative,preposition,plural,present,negative,Are the people around us not feeling calm?,8,correct,nat_12415,nat_12415.wav,False,3608,0
weather,declarative,dependent,plural,future,negative,The areas that flood will not be safe tomorrow,9,correct,nat_03132,nat_03132.wav,False,2967,0
housing,declarative,preposition,plural,past,negative,The tenants had not paid their rent on time,9,correct,nat_14667,nat_14667.wav,False,477,0
art,interrogative,dependent,plural,present,negative,Do the musicians playing in the band not know that song?,11,correct,nat_02135,nat_02135.wav,False,3975,0
humanity,interrogative,preposition,plural,present,affirmative,Do the children in the park play with cultural dolls?,10,correct,nat_10260,nat_10260.wav,False,587,0
work,declarative,preposition,singular,future,affirmative,My friend from school will work at a big company next year,12,correct,nat_19861,nat_19861.wav,False,314,0
shopping,declarative,simple,plural,past,affirmative,The company made a lot of money last year,9,correct,nat_15079,nat_15079.wav,False,1813,0
emotion,interrogative,simple,singular,future,negative,Will I not feel anxious tomorrow?,6,correct,nat_15680,nat_15680.wav,False,3264,0
art,declarative,preposition,singular,past,affirmative,I saw a great exhibition at the museum yesterday,9,correct,nat_03757,nat_03757.wav,False,4668,0
emotion,declarative,simple,plural,future,negative,The cats will not be afraid of the dog,9,correct,nat_02000,nat_02000.wav,False,696,0
health,interrogative,simple,plural,future,affirmative,Do the experts think they will reduce stress levels?,9,correct,nat_17006,nat_17006.wav,False,2913,0
food,declarative,independent,plural,present,affirmative,We cook meals so our families can eat,8,correct,nat_07474,nat_07474.wav,False,333,0
transport,declarative,independent,plural,present,negative,Travelers do not like waiting in long lines at airports,10,correct,nat_02751,nat_02751.wav,False,3354,0
nature,declarative,simple,plural,present,affirmative,Many flowers bloom in the spring season,7,correct,nat_04585,nat_04585.wav,False,904,0
work,declarative,independent,singular,future,affirmative,The company will hire new staff if they need more workers,11,correct,nat_08544,nat_08544.wav,False,1116,0
sport,interrogative,dependent,singular,future,affirmative,Does the player who will serve next think she can win?,11,correct,nat_05802,nat_05802.wav,False,1416,0
shopping,interrogative,preposition,singular,future,affirmative,Can I get a refund for this broken product here?,10,correct,nat_03318,nat_03318.wav,False,1217,0
art,declarative,dependent,plural,past,affirmative,They had been playing their instruments for many years already,10,correct,nat_17860,nat_17860.wav,False,2215,0
humanity,interrogative,dependent,singular,present,affirmative,Is the play that is being performed sold out?,9,correct,nat_16719,nat_16719.wav,False,2552,0
transport,declarative,preposition,plural,future,affirmative,The trains will arrive at the station in a few hours,11,correct,nat_11123,nat_11123.wav,False,2073,0
transport,declarative,dependent,plural,future,negative,They will not be able to afford a taxi,9,correct,nat_11818,nat_11818.wav,False,1107,0
work,declarative,simple,singular,present,affirmative,The university offers many online courses now,7,correct,nat_19168,nat_19168.wav,False,1623,0
transport,declarative,simple,plural,past,affirmative,Many bicycles were stolen from the parking lot,8,correct,nat_07380,nat_07380.wav,False,3498,0
relationship,interrogative,preposition,singular,past,affirmative,Was the baby on her lap her nephew?,8,correct,nat_10028,nat_10028.wav,False,801,0
emotion,declarative,independent,plural,future,affirmative,They will feel happy when they get married next year,10,correct,nat_14893,nat_14893.wav,False,652,0
transport,declarative,preposition,plural,future,affirmative,The roads will be crowded with cars during rush hour,10,correct,nat_11121,nat_11121.wav,False,243,0
transport,interrogative,preposition,plural,future,affirmative,Are the taxis going to be on strike next week?,10,correct,nat_19516,nat_19516.wav,False,1173,0
sport,declarative,dependent,plural,future,negative,The footballers who are tired will not play well,9,correct,nat_04697,nat_04697.wav,False,690,0
shopping,interrogative,preposition,singular,past,affirmative,Was the discount on the shoes enough for you?,9,correct,nat_04462,nat_04462.wav,False,721,0
emotion,declarative,dependent,singular,past,affirmative,The smell that reminded me of home was nice,9,correct,nat_07271,nat_07271.wav,False,3603,0
sport,interrogative,independent,singular,past,negative,Did the athlete not train hard yet still win?,9,correct,nat_08675,nat_08675.wav,False,2210,0
humanity,declarative,preposition,plural,present,affirmative,The teachers of this school are teaching various subjects together,10,correct,nat_10006,nat_10006.wav,False,1212,0
sport,interrogative,preposition,singular,past,affirmative,Was the rower in the boat going at full speed?,10,correct,nat_13359,nat_13359.wav,False,4594,0
emotion,interrogative,preposition,singular,past,affirmative,Did the guy on the couch look worried to you?,10,correct,nat_00725,nat_00725.wav,False,444,0
science,declarative,preposition,plural,future,affirmative,Engineers will be designing new bridges with strong materials inside,10,correct,nat_15432,nat_15432.wav,False,3222,0
food,declarative,preposition,singular,present,affirmative,I love the smell of food from the kitchen,9,correct,nat_17814,nat_17814.wav,False,3038,0
transport,declarative,simple,singular,past,negative,The driver was not paying attention,6,correct,nat_15564,nat_15564.wav,False,1037,0
weather,interrogative,simple,singular,past,affirmative,Was the temperature higher last summer?,6,correct,nat_04854,nat_04854.wav,False,4620,0
food,interrogative,dependent,singular,present,affirmative,Can you smell what I am cooking?,7,correct,nat_14981,nat_14981.wav,False,2943,0
weather,interrogative,independent,singular,past,affirmative,Did the wind blow strongly because of the storm?,9,correct,nat_16743,nat_16743.wav,False,3403,0
food,declarative,dependent,plural,past,affirmative,The people who ate breakfast were more energetic and focused,10,correct,nat_04149,nat_04149.wav,False,1350,0
housing,declarative,preposition,plural,present,negative,There are no plants in the living room,8,correct,nat_07436,nat_07436.wav,False,3522,0
nature,interrogative,simple,singular,future,affirmative,Will the fish swim upstream next month?,7,correct,nat_15231,nat_15231.wav,False,187,0
health,interrogative,preposition,plural,present,affirmative,Are the people around you feeling anxious about their health?,10,correct,nat_17512,nat_17512.wav,False,1391,0
housing,declarative,simple,plural,future,affirmative,The house will be ready for sale next year,9,correct,nat_00928,nat_00928.wav,False,2438,0
transport,declarative,independent,plural,future,affirmative,The airport will be busy so the staff will work overtime,11,correct,nat_05843,nat_05843.wav,False,3578,0
nature,interrogative,independent,singular,past,affirmative,Was the mountain high where the eagles used to fly?,10,correct,nat_03385,nat_03385.wav,False,310,0
transport,declarative,independent,singular,present,negative,The bike is not mine but I use it often now,11,correct,nat_02258,nat_02258.wav,False,2497,0
work,declarative,dependent,singular,present,affirmative,He spends most of his time reading books that interest him,11,correct,nat_13130,nat_13130.wav,False,627,0
emotion,interrogative,dependent,plural,present,negative,Are the tourists not worried about the bad weather forecast?,10,correct,nat_09384,nat_09384.wav,False,837,0
housing,declarative,dependent,singular,present,negative,The apartment that I saw is not available,8,correct,nat_18088,nat_18088.wav,False,2728,0
work,declarative,independent,plural,past,affirmative,The job market was tough but people found employment,9,correct,nat_01407,nat_01407.wav,False,3765,0
transport,interrogative,dependent,singular,present,affirmative,Does the person driving the car know the way?,9,correct,nat_06287,nat_06287.wav,False,1999,0
art,declarative,independent,plural,past,affirmative,The artists created something new every time they worked together,10,correct,nat_10134,nat_10134.wav,False,2555,0
shopping,interrogative,simple,singular,past,affirmative,Did he have to wait in line to pay?,9,correct,nat_19565,nat_19565.wav,False,162,0
food,declarative,independent,singular,future,negative,The girl will not have dessert because she is full,10,correct,nat_03391,nat_03391.wav,False,2432,0
weather,declarative,simple,plural,future,affirmative,The days will get longer in the summer months,9,correct,nat_10396,nat_10396.wav,False,3389,0
nature,interrogative,independent,plural,past,affirmative,Did the animals adapt because the climate changed slowly?,9,correct,nat_10923,nat_10923.wav,False,4410,0
transport,interrogative,dependent,plural,present,affirmative,Can the cyclists who ride on bike paths wear headphones?,10,correct,nat_14875,nat_14875.wav,False,1757,0
sport,declarative,dependent,singular,past,affirmative,She had won several trophies in her career,8,correct,nat_11323,nat_11323.wav,False,1027,0
science,interrogative,dependent,plural,past,affirmative,Had the researchers who worked on it found a solution?,10,correct,nat_12710,nat_12710.wav,False,1127,0
relationship,declarative,simple,plural,future,negative,The brothers will not forgive each other,7,correct,nat_11669,nat_11669.wav,False,781,0
health,interrogative,preposition,plural,present,affirmative,Are the women in your family taking care of their health?,11,correct,nat_17522,nat_17522.wav,False,2004,0
relationship,declarative,preposition,plural,present,affirmative,Friends of my parents are coming over tonight,8,correct,nat_03293,nat_03293.wav,False,993,0
sport,declarative,simple,singular,present,affirmative,The skater glides across the ice smoothly,7,correct,nat_09710,nat_09710.wav,False,4437,0
transport,declarative,dependent,singular,present,negative,The car that I own is not very reliable,9,correct,nat_03572,nat_03572.wav,False,461,0
nature,declarative,dependent,singular,past,affirmative,The dog that I walked was very energetic and playful,10,correct,nat_12337,nat_12337.wav,False,4523,0
weather,declarative,simple,singular,future,affirmative,The spring will arrive early this year,7,correct,nat_09245,nat_09245.wav,False,2037,0
work,interrogative,preposition,plural,past,affirmative,Did the kids in your neighborhood go to school together?,10,correct,nat_16092,nat_16092.wav,False,122,0
basic,interrogative,simple,singular,past,affirmative,Was the movie interesting to watch?,6,correct,nat_18829,nat_18829.wav,False,319,0
weather,declarative,simple,plural,past,affirmative,They had to shovel snow from their driveways every morning,10,correct,nat_19479,nat_19479.wav,False,2184,0
art,declarative,dependent,plural,future,negative,They will not learn to appreciate the art that they see,11,correct,nat_18599,nat_18599.wav,False,2818,0
transport,declarative,preposition,plural,present,affirmative,Many people travel by train every day,7,correct,nat_17879,nat_17879.wav,False,711,0
humanity,interrogative,dependent,singular,future,affirmative,Does she think the new policy will affect her business?,10,correct,nat_08137,nat_08137.wav,False,911,0
transport,interrogative,simple,singular,present,negative,Am I not allowed to park here?,7,correct,nat_02097,nat_02097.wav,False,332,0
science,declarative,simple,plural,past,negative,They did not understand the physics behind the experiment,9,correct,nat_09391,nat_09391.wav,False,4761,0
shopping,interrogative,simple,singular,present,negative,Is this item not available in store?,7,correct,nat_06405,nat_06405.wav,False,2882,0
work,interrogative,independent,singular,present,affirmative,Does she study hard but still get low grades?,9,correct,nat_13711,nat_13711.wav,False,2976,0
science,interrogative,preposition,plural,past,affirmative,Were the files on the server backed up by the admin?,11,correct,nat_16793,nat_16793.wav,False,2347,0
humanity,declarative,independent,singular,present,affirmative,The critic writes reviews but also talks to artists about their work,12,correct,nat_11059,nat_11059.wav,False,3336,0
food,interrogative,dependent,plural,past,affirmative,Did the cooks who worked in the kitchen wear gloves?,10,correct,nat_18949,nat_18949.wav,False,2901,0
science,interrogative,preposition,singular,past,affirmative,Did the driver in front of me stop suddenly?,9,correct,nat_15495,nat_15495.wav,False,3473,0
housing,declarative,preposition,plural,past,negative,The doors of the house were not locked properly,9,correct,nat_14678,nat_14678.wav,False,1929,0
relationship,declarative,dependent,plural,past,affirmative,The families who lived in our neighborhood were friendly,9,correct,nat_12148,nat_12148.wav,False,929,0
emotion,declarative,independent,plural,present,negative,They are not happy but their friends are smiling,9,correct,nat_18979,nat_18979.wav,False,1594,0
transport,declarative,simple,singular,past,affirmative,He had a license to drive a boat,8,correct,nat_10633,nat_10633.wav,False,1151,0
shopping,declarative,dependent,plural,past,negative,The things they sold were not of good quality,9,correct,nat_05590,nat_05590.wav,False,2194,0
work,declarative,preposition,singular,past,affirmative,I had eaten lunch in the office cafeteria,8,correct,nat_04502,nat_04502.wav,False,2874,0
work,interrogative,preposition,singular,future,affirmative,Is the job at the top of your list available?,10,correct,nat_05193,nat_05193.wav,False,60,0
food,interrogative,dependent,singular,present,affirmative,Is the food that I cooked healthy?,7,correct,nat_14972,nat_14972.wav,False,1522,0
health,declarative,simple,plural,past,negative,The doctors were not very helpful sometimes,7,correct,nat_12291,nat_12291.wav,False,214,0
shopping,declarative,simple,singular,past,negative,She did not find what she was looking for,9,correct,nat_16075,nat_16075.wav,False,1836,0
emotion,declarative,dependent,singular,past,negative,The dog that I saw was not very scared,9,correct,nat_13938,nat_13938.wav,False,3599,0
shopping,declarative,preposition,singular,past,negative,He did not find what he was looking for downtown,10,correct,nat_13218,nat_13218.wav,False,1836,0
emotion,interrogative,preposition,plural,present,negative,Do the kids next to us feel scared?,8,correct,nat_12398,nat_12398.wav,False,1871,0
relationship,declarative,simple,plural,past,affirmative,Our parents had been married for twenty years already,9,correct,nat_17497,nat_17497.wav,False,652,0
nature,declarative,simple,singular,present,negative,The forest is not very dense,6,correct,nat_12460,nat_12460.wav,False,1559,0
emotion,interrogative,dependent,plural,present,affirmative,Do the men who are shouting feel angry now?,9,correct,nat_02342,nat_02342.wav,False,1430,0
nature,interrogative,preposition,plural,past,affirmative,Were the animals in the forest eating berries last night?,10,correct,nat_17552,nat_17552.wav,False,156,0
weather,declarative,dependent,singular,future,affirmative,The season that comes after summer will be very cold,10,correct,nat_15751,nat_15751.wav,False,4126,0
emotion,declarative,preposition,singular,past,negative,She had never been so disappointed in her life,9,correct,nat_02702,nat_02702.wav,False,2275,0
transport,declarative,independent,plural,past,negative,The roads were not safe for cyclists at night,9,correct,nat_03886,nat_03886.wav,False,2174,0
food,interrogative,simple,singular,future,affirmative,Is the meat going to be cooked well?,8,correct,nat_05179,nat_05179.wav,False,5004,0
emotion,interrogative,preposition,plural,present,negative,Are the girls in front of us not smiling?,9,correct,nat_12401,nat_12401.wav,False,1860,0
nature,declarative,independent,singular,past,negative,The river did not overflow so the village was safe,10,correct,nat_18244,nat_18244.wav,False,4154,0
work,declarative,preposition,singular,present,affirmative,He works for a big company overseas,7,correct,nat_02801,nat_02801.wav,False,4348,0
emotion,interrogative,preposition,plural,future,negative,Do the students without books not get worried about homework?,10,correct,nat_06141,nat_06141.wav,False,759,0
shopping,declarative,preposition,singular,past,negative,She was not happy with the price of that dress,10,correct,nat_13215,nat_13215.wav,False,7,0
basic,declarative,simple,singular,future,negative,I will not eat breakfast today,6,correct,nat_15139,nat_15139.wav,False,165,0
nature,interrogative,preposition,plural,future,affirmative,Do trees growing on cliffs need more sunlight?,8,correct,nat_18974,nat_18974.wav,False,3395,0
science,declarative,dependent,singular,future,affirmative,The algorithm that I created will be used in hospitals,10,correct,nat_06876,nat_06876.wav,False,1628,0
nature,declarative,independent,singular,future,affirmative,A seed will sprout if it gets enough water,9,correct,nat_08452,nat_08452.wav,False,4044,0
shopping,interrogative,preposition,singular,future,affirmative,Can I get a price match at this store now?,10,correct,nat_03330,nat_03330.wav,False,2622,0
work,declarative,simple,singular,future,affirmative,The worker will get a raise next quarter,8,correct,nat_06977,nat_06977.wav,False,3365,0
relationship,interrogative,simple,plural,future,affirmative,Do brothers and sisters always fight when they are young?,10,correct,nat_15516,nat_15516.wav,False,3922,0
transport,declarative,dependent,singular,future,affirmative,The flight that she is taking will be departing soon,10,correct,nat_08860,nat_08860.wav,False,4377,0
weather,declarative,preposition,plural,present,negative,Storms are not common in our region during summer,9,correct,nat_09558,nat_09558.wav,False,4302,0
sport,declarative,preposition,singular,future,negative,She will not be playing tennis next to her brother,10,correct,nat_05703,nat_05703.wav,False,1149,0
food,declarative,dependent,singular,future,affirmative,The girl who will bake the cake is very talented,10,correct,nat_05074,nat_05074.wav,False,3448,0
basic,interrogative,preposition,singular,past,affirmative,Did the boy with a ball kick it over the fence?,11,correct,nat_04112,nat_04112.wav,False,3370,0
relationship,interrogative,simple,plural,future,affirmative,Are the sisters going to start their own business?,9,correct,nat_15532,nat_15532.wav,False,425,0
science,declarative,dependent,singular,present,affirmative,The gadget that I wear tracks my sleep,8,correct,nat_07422,nat_07422.wav,False,5086,0
work,declarative,preposition,singular,past,affirmative,The student from our town got a scholarship,8,correct,nat_04505,nat_04505.wav,False,436,0
basic,interrogative,simple,singular,future,negative,Will the library not be closed?,6,correct,nat_15297,nat_15297.wav,False,354,0
housing,interrogative,preposition,plural,future,affirmative,Are the houses on this street going to be renovated soon?,11,correct,nat_06010,nat_06010.wav,False,1636,0
housing,declarative,simple,plural,present,affirmative,The kids are playing in their backyard right now,9,correct,nat_14061,nat_14061.wav,False,678,0
sport,interrogative,simple,plural,future,negative,Will the teams not be playing against each other soon?,10,correct,nat_12978,nat_12978.wav,False,2582,0
housing,interrogative,simple,plural,present,affirmative,Do the tenants pay rent on time?,7,correct,nat_02930,nat_02930.wav,False,3321,0
transport,interrogative,independent,singular,past,affirmative,Was the road closed when you were driving to the beach?,11,correct,nat_15037,nat_15037.wav,False,1894,0
humanity,interrogative,preposition,plural,future,negative,Will the actors on stage not be performing tonight?,9,correct,nat_02249,nat_02249.wav,False,288,0
nature,interrogative,preposition,plural,present,affirmative,Are the mountains above the village covered in snow?,9,correct,nat_07845,nat_07845.wav,False,31,0
weather,interrogative,simple,plural,future,affirmative,Are they expecting a lot of rainfall?,7,correct,nat_15323,nat_15323.wav,False,2747,0
health,declarative,simple,plural,past,affirmative,The dogs were getting their shots regularly then,8,correct,nat_08560,nat_08560.wav,False,1262,0
humanity,interrogative,simple,plural,present,affirmative,Do social media platforms shape public opinion easily?,8,correct,nat_11883,nat_11883.wav,False,2222,0
art,interrogative,preposition,plural,present,negative,Are the writers of these stories not getting enough credit?,10,correct,nat_17235,nat_17235.wav,False,307,0
shopping,declarative,preposition,plural,past,affirmative,The items on the list were checked by employees,9,correct,nat_11171,nat_11171.wav,False,60,0
work,interrogative,dependent,plural,past,negative,Were the courses the university offered not interesting enough?,9,correct,nat_14635,nat_14635.wav,False,1458,0
relationship,interrogative,preposition,singular,present,affirmative,Do you know the friend of my brother?,8,correct,nat_19696,nat_19696.wav,False,212,0
sport,interrogative,independent,plural,past,affirmative,Did the basketball team win because they worked together?,9,correct,nat_18367,nat_18367.wav,False,469,0
shopping,interrogative,simple,plural,present,affirmative,Can we buy gift cards online?,6,correct,nat_06119,nat_06119.wav,False,1068,0
housing,declarative,independent,singular,future,affirmative,My mom will vacuum the floor while I dust the shelves,11,correct,nat_02456,nat_02456.wav,False,3928,0
