set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,sentence_id,audio_filename
2,1,art,plural,present,The artists paint new pictures.,5,baseline_a,25,ctr_00024,ctr_00024.wav
2,2,art,plural,present,The artists quickly paint new pictures.,6,baseline_b,26,ctr_00025,ctr_00025.wav
2,3,art,plural,present,The talented artists paint new pictures.,6,baseline_c,27,ctr_00026,ctr_00026.wav
2,4,art,plural,present,The talented artists quickly paint new pictures.,7,baseline_d,28,ctr_00027,ctr_00027.wav
2,5,art,plural,present,The artists in the studios paint new pictures.,8,control_a,29,ctr_00028,ctr_00028.wav
2,6,art,plural,present,The artists in the studios quickly paint new pictures.,9,control_b,30,ctr_00029,ctr_00029.wav
2,7,art,plural,present,The talented artists in the studios paint new pictures.,9,control_c,31,ctr_00030,ctr_00030.wav
2,8,art,plural,present,The talented artists in the studios quickly paint new pictures.,10,control_d,32,ctr_00031,ctr_00031.wav
2,9,art,plural,present,The artists who practice every day paint new pictures.,9,standard_subject_a,33,ctr_00032,ctr_00032.wav
2,10,art,plural,present,The artists who practice every day quickly paint new pictures.,10,standard_subject_b,34,ctr_00033,ctr_00033.wav
2,11,art,plural,present,The talented artists who practice every day paint new pictures.,10,standard_subject_c,35,ctr_00034,ctr_00034.wav
2,12,art,plural,present,The talented artists who practice every day quickly paint new pictures.,11,standard_subject_d,36,ctr_00035,ctr_00035.wav
2,13,art,plural,present,The artists who the gallery owners hire paint new pictures.,10,standard_object_a,37,ctr_00036,ctr_00036.wav
2,14,art,plural,present,The artists who the gallery owners hire quickly paint new pictures.,11,standard_object_b,38,ctr_00037,ctr_00037.wav
2,15,art,plural,present,The talented artists who the gallery owners hire paint new pictures.,11,standard_object_c,39,ctr_00038,ctr_00038.wav
2,16,art,plural,present,The talented artists who the gallery owners hire quickly paint new pictures.,12,standard_object_d,40,ctr_00039,ctr_00039.wav
2,17,art,plural,present,The artists who read the books that are on the shelves paint new pictures.,14,nested_subject_a,41,ctr_00040,ctr_00040.wav
2,18,art,plural,present,The artists who read the books that are on the shelves quickly paint new pictures.,15,nested_subject_b,42,ctr_00041,ctr_00041.wav
2,19,art,plural,present,The talented artists who read the books that are on the shelves paint new pictures.,15,nested_subject_c,43,ctr_00042,ctr_00042.wav
2,20,art,plural,present,The talented artists who read the books that are on the shelves quickly paint new pictures.,16,nested_subject_d,44,ctr_00043,ctr_00043.wav
3,1,art,singular,past,The painter created the sculpture.,5,baseline_a,49,ctr_00048,ctr_00048.wav
3,2,art,singular,past,The painter quickly created the sculpture.,6,baseline_b,50,ctr_00049,ctr_00049.wav
3,3,art,singular,past,The talented painter created the sculpture.,6,baseline_c,51,ctr_00050,ctr_00050.wav
3,4,art,singular,past,The talented painter quickly created the sculpture.,7,baseline_d,52,ctr_00051,ctr_00051.wav
3,5,art,singular,past,The painter in the attic created the sculpture.,8,control_a,53,ctr_00052,ctr_00052.wav
3,6,art,singular,past,The painter in the attic quickly created the sculpture.,9,control_b,54,ctr_00053,ctr_00053.wav
3,7,art,singular,past,The talented painter in the attic created the sculpture.,9,control_c,55,ctr_00054,ctr_00054.wav
3,8,art,singular,past,The talented painter in the attic quickly created the sculpture.,10,control_d,56,ctr_00055,ctr_00055.wav
3,9,art,singular,past,The painter who practiced daily created the sculpture.,8,standard_subject_a,57,ctr_00056,ctr_00056.wav
3,10,art,singular,past,The painter who practiced daily quickly created the sculpture.,9,standard_subject_b,58,ctr_00057,ctr_00057.wav
3,11,art,singular,past,The talented painter who practiced daily created the sculpture.,9,standard_subject_c,59,ctr_00058,ctr_00058.wav
3,12,art,singular,past,The talented painter who practiced daily quickly created the sculpture.,10,standard_subject_d,60,ctr_00059,ctr_00059.wav
3,13,art,singular,past,The painter who the curator hired created the sculpture.,9,standard_object_a,61,ctr_00060,ctr_00060.wav
3,14,art,singular,past,The painter who the curator hired quickly created the sculpture.,10,standard_object_b,62,ctr_00061,ctr_00061.wav
3,15,art,singular,past,The talented painter who the curator hired created the sculpture.,10,standard_object_c,63,ctr_00062,ctr_00062.wav
3,16,art,singular,past,The talented painter who the curator hired quickly created the sculpture.,11,standard_object_d,64,ctr_00063,ctr_00063.wav
3,17,art,singular,past,The painter who studied the techniques that were in the book created the sculpture.,14,nested_subject_a,65,ctr_00064,ctr_00064.wav
3,18,art,singular,past,The painter who studied the technique that was in the book quickly created the sculpture.,15,nested_subject_b,66,ctr_00065,ctr_00065.wav
3,19,art,singular,past,The talented painter who studied the technique that was in the book created the sculpture.,15,nested_subject_c,67,ctr_00066,ctr_00066.wav
3,20,art,singular,past,The talented painter who studied the technique that was in the book quickly created the sculpture.,16,nested_subject_d,68,ctr_00067,ctr_00067.wav
4,1,art,plural,past,The guitarists played a new song.,6,baseline_a,73,ctr_00072,ctr_00072.wav
4,2,art,plural,past,The guitarists skillfully played a new song.,7,baseline_b,74,ctr_00073,ctr_00073.wav
4,3,art,plural,past,The creative guitarists played a new song.,7,baseline_c,75,ctr_00074,ctr_00074.wav
4,4,art,plural,past,The creative guitarists skillfully played a new song.,8,baseline_d,76,ctr_00075,ctr_00075.wav
4,5,art,plural,past,The guitarists in the studio played a new song.,9,control_a,77,ctr_00076,ctr_00076.wav
4,6,art,plural,past,The guitarists in the studio skillfully played a new song.,10,control_b,78,ctr_00077,ctr_00077.wav
4,7,art,plural,past,The creative guitarists in the studio played a new song.,10,control_c,79,ctr_00078,ctr_00078.wav
4,8,art,plural,past,The creative guitarists in the studio skillfully played a new song.,11,control_d,80,ctr_00079,ctr_00079.wav
4,9,art,plural,past,The guitarists who studied music played a new song.,9,standard_subject_a,81,ctr_00080,ctr_00080.wav
4,10,art,plural,past,The guitarists who studied music skillfully played a new song.,10,standard_subject_b,82,ctr_00081,ctr_00081.wav
4,11,art,plural,past,The creative guitarists who studied music played a new song.,10,standard_subject_c,83,ctr_00082,ctr_00082.wav
4,12,art,plural,past,The creative guitarists who studied music skillfully played a new song.,11,standard_subject_d,84,ctr_00083,ctr_00083.wav
4,13,art,plural,past,The guitarists who the singers found played a new song.,10,standard_object_a,85,ctr_00084,ctr_00084.wav
4,14,art,plural,past,The guitarists who the singers found skillfully played a new song.,11,standard_object_b,86,ctr_00085,ctr_00085.wav
4,15,art,plural,past,The creative guitarists who the singers found played a new song.,11,standard_object_c,87,ctr_00086,ctr_00086.wav
4,16,art,plural,past,The creative guitarists who the singers found skillfully played a new song.,12,standard_object_d,88,ctr_00087,ctr_00087.wav
4,17,art,plural,past,The guitarists who put together the band that had success played a new song.,14,nested_subject_a,89,ctr_00088,ctr_00088.wav
4,18,art,plural,past,The guitarists who put together the band that had success skillfully played a new song.,15,nested_subject_b,90,ctr_00089,ctr_00089.wav
4,19,art,plural,past,The creative guitarists who put together the band that had success played a new song.,15,nested_subject_c,91,ctr_00090,ctr_00090.wav
4,20,art,plural,past,The creative guitarists who put together the band that had success skillfully played a new song.,16,nested_subject_d,92,ctr_00091,ctr_00091.wav
5,1,basic,plural,past,The parents cooked the meal.,5,baseline_a,97,ctr_00096,ctr_00096.wav
5,2,basic,plural,past,The parents slowly cooked the meal.,6,baseline_b,98,ctr_00097,ctr_00097.wav
5,3,basic,plural,past,The elderly parents cooked the meal.,6,baseline_c,99,ctr_00098,ctr_00098.wav
5,4,basic,plural,past,The elderly parents slowly cooked the meal.,7,baseline_d,100,ctr_00099,ctr_00099.wav
5,5,basic,plural,past,The parents in the kitchen cooked the meal.,8,control_a,101,ctr_00100,ctr_00100.wav
5,6,basic,plural,past,The parents in the kitchen slowly cooked the meal.,9,control_b,102,ctr_00101,ctr_00101.wav
5,7,basic,plural,past,The elderly parents in the kitchen cooked the meal.,9,control_c,103,ctr_00102,ctr_00102.wav
5,8,basic,plural,past,The elderly parents in the kitchen slowly cooked the meal.,10,control_d,104,ctr_00103,ctr_00103.wav
5,9,basic,plural,past,The parents who studied cooking cooked the meal.,8,standard_subject_a,105,ctr_00104,ctr_00104.wav
5,10,basic,plural,past,The parents who studied cooking slowly cooked the meal.,9,standard_subject_b,106,ctr_00105,ctr_00105.wav
5,11,basic,plural,past,The elderly parents who studied cooking cooked the meal.,9,standard_subject_c,107,ctr_00106,ctr_00106.wav
5,12,basic,plural,past,The elderly parents who studied cooking slowly cooked the meal.,10,standard_subject_d,108,ctr_00107,ctr_00107.wav
5,13,basic,plural,past,The parents who the guests visited cooked the meal.,9,standard_object_a,109,ctr_00108,ctr_00108.wav
5,14,basic,plural,past,The parents who the guests visited slowly cooked the meal.,10,standard_object_b,110,ctr_00109,ctr_00109.wav
5,15,basic,plural,past,The elderly parents who theguests visited cooked the meal.,10,standard_object_c,111,ctr_00110,ctr_00110.wav
5,16,basic,plural,past,The elderly parents who the guests visited slowly cooked the meal.,11,standard_object_d,112,ctr_00111,ctr_00111.wav
5,17,basic,plural,past,The parents who saw the recipes that were in the book cooked the meal.,14,nested_subject_a,113,ctr_00112,ctr_00112.wav
5,18,basic,plural,past,The parents who saw the recipes that were in the book slowly cooked the meal.,15,nested_subject_b,114,ctr_00113,ctr_00113.wav
5,19,basic,plural,past,The elderly parents who saw the recipes that were in the book cooked the meal.,15,nested_subject_c,115,ctr_00114,ctr_00114.wav
5,20,basic,plural,past,The elderly parents who saw the recipes that were in the book slowly cooked the meal.,16,nested_subject_d,116,ctr_00115,ctr_00115.wav
6,1,basic,singular,present,The teacher eats a sandwich.,5,baseline_a,121,ctr_00120,ctr_00120.wav
6,2,basic,singular,present,The teacher delicately eats a sandwich.,6,baseline_b,122,ctr_00121,ctr_00121.wav
6,3,basic,singular,present,The nice teacher eats a sandwich.,6,baseline_c,123,ctr_00122,ctr_00122.wav
6,4,basic,singular,present,The nice teacher delicately eats a sandwich.,7,baseline_d,124,ctr_00123,ctr_00123.wav
6,5,basic,singular,present,The teacher at home eats a sandwich.,7,control_a,125,ctr_00124,ctr_00124.wav
6,6,basic,singular,present,The teacher at home delicately eats a sandwich.,8,control_b,126,ctr_00125,ctr_00125.wav
6,7,basic,singular,present,The nice teacher at home eats a sandwich.,8,control_c,127,ctr_00126,ctr_00126.wav
6,8,basic,singular,present,The nice teacher at home delicately eats a sandwich.,9,control_d,128,ctr_00127,ctr_00127.wav
6,9,basic,singular,present,The teacher who read books eats a sandwich.,8,standard_subject_a,129,ctr_00128,ctr_00128.wav
6,10,basic,singular,present,The teacher who read books delicately eats a sandwich.,9,standard_subject_b,130,ctr_00129,ctr_00129.wav
6,11,basic,singular,present,The nice teacher who read books eats a sandwich.,9,standard_subject_c,131,ctr_00130,ctr_00130.wav
6,12,basic,singular,present,The nice teacher who read books delicately eats a sandwich.,10,standard_subject_d,132,ctr_00131,ctr_00131.wav
6,13,basic,singular,present,The teacher who the student respected eats a sandwich.,9,standard_object_a,133,ctr_00132,ctr_00132.wav
6,14,basic,singular,present,The teacher who the student respected delicately eats a sandwich.,10,standard_object_b,134,ctr_00133,ctr_00133.wav
6,15,basic,singular,present,The nice teacher who the student respected eats a sandwich.,10,standard_object_c,135,ctr_00134,ctr_00134.wav
6,16,basic,singular,present,The nice teacher who the student respected delicately eats a sandwich.,11,standard_object_d,136,ctr_00135,ctr_00135.wav
6,17,basic,singular,present,The teacher who studied the textbook that was on the shelf eats a sandwich.,14,nested_subject_a,137,ctr_00136,ctr_00136.wav
6,18,basic,singular,present,The teacher who studied the textbook that was on the shelf delicately eats a sandwich.,15,nested_subject_b,138,ctr_00137,ctr_00137.wav
6,19,basic,singular,present,The nice teacher who studied the textbook that was on the shelf eats a sandwich.,15,nested_subject_c,139,ctr_00138,ctr_00138.wav
6,20,basic,singular,present,The nice teacher who studied the textbook that was on the shelf delicately eats a sandwich.,16,nested_subject_d,140,ctr_00139,ctr_00139.wav
7,1,communication,plural,past,The speakers used their phones yesterday.,6,baseline_a,145,ctr_00144,ctr_00144.wav
7,2,communication,plural,past,The speakers immediately used their phones yesterday.,7,baseline_b,146,ctr_00145,ctr_00145.wav
7,3,communication,plural,past,The skilled speakers used their phones yesterday.,7,baseline_c,147,ctr_00146,ctr_00146.wav
7,4,communication,plural,past,The skilled speakers immediately used their phones yesterday.,8,baseline_d,148,ctr_00147,ctr_00147.wav
7,5,communication,plural,past,The speakers in the offices used their phones yesterday.,9,control_a,149,ctr_00148,ctr_00148.wav
7,6,communication,plural,past,The speakers in the offices immediately used their phones yesterday.,10,control_b,150,ctr_00149,ctr_00149.wav
7,7,communication,plural,past,The skilled speakers in the offices used their phones yesterday.,10,control_c,151,ctr_00150,ctr_00150.wav
7,8,communication,plural,past,The skilled speakers in the offices immediately used their phones yesterday.,11,control_d,152,ctr_00151,ctr_00151.wav
7,9,communication,plural,past,The speakers who studied linguistics used their phones yesterday.,9,standard_subject_a,153,ctr_00152,ctr_00152.wav
7,10,communication,plural,past,The speakers who studied linguistics immediately used their phones yesterday.,10,standard_subject_b,154,ctr_00153,ctr_00153.wav
7,11,communication,plural,past,The skilled speakers who studied linguistics used their phones yesterday.,10,standard_subject_c,155,ctr_00154,ctr_00154.wav
7,12,communication,plural,past,The skilled speakers who studied linguistics immediately used their phones yesterday.,11,standard_subject_d,156,ctr_00155,ctr_00155.wav
7,13,communication,plural,past,The speakers who the managers trained used their phones yesterday.,10,standard_object_a,157,ctr_00156,ctr_00156.wav
7,14,communication,plural,past,The speakers who the managers trained immediately used their phones yesterday.,11,standard_object_b,158,ctr_00157,ctr_00157.wav
7,15,communication,plural,past,The skilled speakers who the managers trained used their phones yesterday.,11,standard_object_c,159,ctr_00158,ctr_00158.wav
7,16,communication,plural,past,The skilled speakers who the managers trained immediately used their phones yesterday.,12,standard_object_d,160,ctr_00159,ctr_00159.wav
7,17,communication,plural,past,The speakers who read the texts that explained grammar used their phones yesterday.,13,nested_subject_a,161,ctr_00160,ctr_00160.wav
7,18,communication,plural,past,The speakers who read the texts that explained grammar immediately used their phones yesterday.,14,nested_subject_b,162,ctr_00161,ctr_00161.wav
7,19,communication,plural,past,The skilled speakers who read the texts that explained grammar used their phones yesterday.,14,nested_subject_c,163,ctr_00162,ctr_00162.wav
7,20,communication,plural,past,The skilled speakers who read the texts that explained grammar immediately used their phones yesterday.,15,nested_subject_d,164,ctr_00163,ctr_00163.wav
8,1,communication,plural,present,People send text messages on phones.,6,baseline_a,169,ctr_00168,ctr_00168.wav
8,2,communication,plural,present,People casually send text messages on phones.,7,baseline_b,170,ctr_00169,ctr_00169.wav
8,3,communication,plural,present,Active people send text messages on phones.,7,baseline_c,171,ctr_00170,ctr_00170.wav
8,4,communication,plural,present,Active people casually send text messages on phones.,8,baseline_d,172,ctr_00171,ctr_00171.wav
8,5,communication,plural,present,People in offices send text messages on phones.,8,control_a,173,ctr_00172,ctr_00172.wav
8,6,communication,plural,present,People in offices casually send text messages on phones.,9,control_b,174,ctr_00173,ctr_00173.wav
8,7,communication,plural,present,Active people in offices send text messages on phones.,9,control_c,175,ctr_00174,ctr_00174.wav
8,8,communication,plural,present,Active people in offices casually send text messages on phones.,10,control_d,176,ctr_00175,ctr_00175.wav
8,9,communication,plural,present,People who studied languages send text messages on phones.,9,standard_subject_a,177,ctr_00176,ctr_00176.wav
8,10,communication,plural,present,People who studied languages casually send text messages on phones.,10,standard_subject_b,178,ctr_00177,ctr_00177.wav
8,11,communication,plural,present,Active people who studied languages send text messages on phones.,10,standard_subject_c,179,ctr_00178,ctr_00178.wav
8,12,communication,plural,present,Active people who studied languages casually send text messages on phones.,11,standard_subject_d,180,ctr_00179,ctr_00179.wav
8,13,communication,plural,present,People who colleagues recommend send text messages on phones.,9,standard_object_a,181,ctr_00180,ctr_00180.wav
8,14,communication,plural,present,People who colleagues recommend casually send text messages on phones.,10,standard_object_b,182,ctr_00181,ctr_00181.wav
8,15,communication,plural,present,Active people who colleagues recommend send text messages on phones.,10,standard_object_c,183,ctr_00182,ctr_00182.wav
8,16,communication,plural,present,Active people who colleagues recommend casually send text messages on phones.,11,standard_object_d,184,ctr_00183,ctr_00183.wav
8,17,communication,plural,present,People who read articles that generate discussions send text messages on phones.,12,nested_subject_a,185,ctr_00184,ctr_00184.wav
8,18,communication,plural,present,People who read articles that generate discussions casually send text messages on phones.,13,nested_subject_b,186,ctr_00185,ctr_00185.wav
8,19,communication,plural,present,Active people who read articles that generate discussions send text messages on phones.,13,nested_subject_c,187,ctr_00186,ctr_00186.wav
8,20,communication,plural,present,Active people who read articles that generate discussions casually send text messages on phones.,14,nested_subject_d,188,ctr_00187,ctr_00187.wav
9,1,communication,singular,past,The teacher communicated the trip date to the parents.,5,baseline_a,193,ctr_00192,ctr_00192.wav
9,2,communication,singular,past,The teacher deliberately communicated the trip date to the parents.,6,baseline_b,194,ctr_00193,ctr_00193.wav
9,3,communication,singular,past,The experienced teacher communicated the trip date to the parents.,6,baseline_c,195,ctr_00194,ctr_00194.wav
9,4,communication,singular,past,The experienced teacher deliberately communicated the trip date to the parents.,7,baseline_d,196,ctr_00195,ctr_00195.wav
9,5,communication,singular,past,The teacher in the office communicated the trip date to the parents.,8,control_a,197,ctr_00196,ctr_00196.wav
9,6,communication,singular,past,The teacher in the office deliberately communicated the trip date to the parents.,9,control_b,198,ctr_00197,ctr_00197.wav
9,7,communication,singular,past,The experienced teacher in the office communicated the trip date to the parents.,9,control_c,199,ctr_00198,ctr_00198.wav
9,8,communication,singular,past,The experienced teacher in the office deliberately communicated the trip date to the parents.,10,control_d,200,ctr_00199,ctr_00199.wav
9,9,communication,singular,past,The teacher who prepared well communicated the trip date to the parents.,8,standard_subject_a,201,ctr_00200,ctr_00200.wav
9,10,communication,singular,past,The teacher who prepared well deliberately communicated the trip date to the parents.,9,standard_subject_b,202,ctr_00201,ctr_00201.wav
9,11,communication,singular,past,The experienced teacher who prepared well communicated the trip date to the parents.,9,standard_subject_c,203,ctr_00202,ctr_00202.wav
9,12,communication,singular,past,The experienced teacher who prepared well deliberately communicated the trip date to the parents.,10,standard_subject_d,204,ctr_00203,ctr_00203.wav
9,13,communication,singular,past,The teacher who the student liked communicated the trip date to the parents.,9,standard_object_a,205,ctr_00204,ctr_00204.wav
9,14,communication,singular,past,The teacher who the student liked deliberately communicated the trip date to the parents.,10,standard_object_b,206,ctr_00205,ctr_00205.wav
9,15,communication,singular,past,The experienced teacher who the student liked communicated the trip date to the parents.,10,standard_object_c,207,ctr_00206,ctr_00206.wav
9,16,communication,singular,past,The experienced teacher who the student liked deliberately communicated the trip date to the parents.,11,standard_object_d,208,ctr_00207,ctr_00207.wav
9,17,communication,singular,past,The teacher who read the atlas that was here communicated the trip date to the parents.,12,nested_subject_a,209,ctr_00208,ctr_00208.wav
9,18,communication,singular,past,The teacher who read the atlas that was here deliberately communicated the trip date to the parents.,13,nested_subject_b,210,ctr_00209,ctr_00209.wav
9,19,communication,singular,past,The experienced teacher who read the atlas that was here communicated the trip date to the parents.,13,nested_subject_c,211,ctr_00210,ctr_00210.wav
9,20,communication,singular,past,The experienced teacher who read the atlas that was here deliberately communicated the trip date to the parents.,14,nested_subject_d,212,ctr_00211,ctr_00211.wav
10,1,communication,singular,present,The secretary types a message.,5,baseline_a,217,ctr_00216,ctr_00216.wav
10,2,communication,singular,present,The secretary quickly types a message.,6,baseline_b,218,ctr_00217,ctr_00217.wav
10,3,communication,singular,present,The busy secretary types a message.,6,baseline_c,219,ctr_00218,ctr_00218.wav
10,4,communication,singular,present,The busy secretary quickly types a message.,7,baseline_d,220,ctr_00219,ctr_00219.wav
10,5,communication,singular,present,The secretary at the table types a message.,8,control_a,221,ctr_00220,ctr_00220.wav
10,6,communication,singular,present,The secretary at the table quickly types a message.,9,control_b,222,ctr_00221,ctr_00221.wav
10,7,communication,singular,present,The busy secretary at the table types a message.,9,control_c,223,ctr_00222,ctr_00222.wav
10,8,communication,singular,present,The busy secretary at the table quickly types a message.,10,control_d,224,ctr_00223,ctr_00223.wav
10,9,communication,singular,present,The secretary who prepared well types a message.,8,standard_subject_a,225,ctr_00224,ctr_00224.wav
10,10,communication,singular,present,The secretary who prepared well quickly types a message.,9,standard_subject_b,226,ctr_00225,ctr_00225.wav
10,11,communication,singular,present,The busy secretary who prepared well types a message.,9,standard_subject_c,227,ctr_00226,ctr_00226.wav
10,12,communication,singular,present,The busy secretary who prepared well quickly types a message.,10,standard_subject_d,228,ctr_00227,ctr_00227.wav
10,13,communication,singular,present,The secretary who the manager chose types a message.,9,standard_object_a,229,ctr_00228,ctr_00228.wav
10,14,communication,singular,present,The secretary who the manager chose quickly types a message.,10,standard_object_b,230,ctr_00229,ctr_00229.wav
10,15,communication,singular,present,The busy secretary who the manager chose writes a message.,10,standard_object_c,231,ctr_00230,ctr_00230.wav
10,16,communication,singular,present,The busy secretary who the manager chose quickly types a message.,11,standard_object_d,232,ctr_00231,ctr_00231.wav
10,17,communication,singular,present,The secretary who reviewed the text that was already edited types a message.,13,nested_subject_a,233,ctr_00232,ctr_00232.wav
10,18,communication,singular,present,The secretary who reviewed the text that was already edited quickly types a message.,14,nested_subject_b,234,ctr_00233,ctr_00233.wav
10,19,communication,singular,present,The busy secretary who reviewed the text that was already edited types a message.,14,nested_subject_c,235,ctr_00234,ctr_00234.wav
10,20,communication,singular,present,The busy secretary who reviewed the text that was already edited quickly types a message.,15,nested_subject_d,236,ctr_00235,ctr_00235.wav
11,1,daily routine,plural,past,The employees ate their breakfast.,5,baseline_a,241,ctr_00240,ctr_00240.wav
11,2,daily routine,plural,past,The employees expeditiously ate their breakfast.,6,baseline_b,242,ctr_00241,ctr_00241.wav
11,3,daily routine,plural,past,The new employees ate their breakfast.,6,baseline_c,243,ctr_00242,ctr_00242.wav
11,4,daily routine,plural,past,The new employees expeditiously ate their breakfast.,7,baseline_d,244,ctr_00243,ctr_00243.wav
11,5,daily routine,plural,past,The employees in the cafeteria ate their breakfast.,8,control_a,245,ctr_00244,ctr_00244.wav
11,6,daily routine,plural,past,The employees in the cafeteria expeditiously ate their breakfast.,9,control_b,246,ctr_00245,ctr_00245.wav
11,7,daily routine,plural,past,The new employees in the cafeteria ate their breakfast.,9,control_c,247,ctr_00246,ctr_00246.wav
11,8,daily routine,plural,past,The new employees in the cafeteria expeditiously ate their breakfast.,10,control_d,248,ctr_00247,ctr_00247.wav
11,9,daily routine,plural,past,The employees who trained hard ate their breakfast.,8,standard_subject_a,249,ctr_00248,ctr_00248.wav
11,10,daily routine,plural,past,The employees who trained hard expeditiously ate their breakfast.,9,standard_subject_b,250,ctr_00249,ctr_00249.wav
11,11,daily routine,plural,past,The new employees who trained hard ate their breakfast.,9,standard_subject_c,251,ctr_00250,ctr_00250.wav
11,12,daily routine,plural,past,The new employees who trained hard expeditiously ate their breakfast.,10,standard_subject_d,252,ctr_00251,ctr_00251.wav
11,13,daily routine,plural,past,The employees who the supervisors guided ate their breakfast.,9,standard_object_a,253,ctr_00252,ctr_00252.wav
11,14,daily routine,plural,past,The employees who the supervisors guided expeditiously ate their breakfast.,10,standard_object_b,254,ctr_00253,ctr_00253.wav
11,15,daily routine,plural,past,The new employees who the supervisors guided ate their breakfast.,10,standard_object_c,255,ctr_00254,ctr_00254.wav
11,16,daily routine,plural,past,The new employees who the supervisors guided expeditiously ate their breakfast.,11,standard_object_d,256,ctr_00255,ctr_00255.wav
11,17,daily routine,plural,past,The employees who received the newsletters that were on the table ate their breakfast.,14,nested_subject_a,257,ctr_00256,ctr_00256.wav
11,18,daily routine,plural,past,The employees who received the newsletters that were on the table expeditiously ate their breakfast.,15,nested_subject_b,258,ctr_00257,ctr_00257.wav
11,19,daily routine,plural,past,The new employees who received the newsletters that were on the table ate their breakfast.,15,nested_subject_c,259,ctr_00258,ctr_00258.wav
11,20,daily routine,plural,past,The new employees who received the newsletters that were on the table expeditiously ate their breakfast.,16,nested_subject_d,260,ctr_00259,ctr_00259.wav
12,1,daily routine,plural,present,The athletes wake their teammates.,5,baseline_a,265,ctr_00264,ctr_00264.wav
12,2,daily routine,plural,present,The athletes energetically wake their teammates.,6,baseline_b,266,ctr_00265,ctr_00265.wav
12,3,daily routine,plural,present,The exhausted athletes wake their teammates.,6,baseline_c,267,ctr_00266,ctr_00266.wav
12,4,daily routine,plural,present,The exhausted athletes energetically wake their teammates.,7,baseline_d,268,ctr_00267,ctr_00267.wav
12,5,daily routine,plural,present,The athletes in the hallway wake their teammates.,8,control_a,269,ctr_00268,ctr_00268.wav
12,6,daily routine,plural,present,The athletes in the hallway energetically wake their teammates.,9,control_b,270,ctr_00269,ctr_00269.wav
12,7,daily routine,plural,present,The exhausted athletes in the hallway wake their teammates.,9,control_c,271,ctr_00270,ctr_00270.wav
12,8,daily routine,plural,present,The exhausted athletes in the hallway energetically wake their teammates.,10,control_d,272,ctr_00271,ctr_00271.wav
12,9,daily routine,plural,present,The athletes who trained well wake their teammates.,8,standard_subject_a,273,ctr_00272,ctr_00272.wav
12,10,daily routine,plural,present,The athletes who trained well energetically wake their teammates.,9,standard_subject_b,274,ctr_00273,ctr_00273.wav
12,11,daily routine,plural,present,The exhausted athletes who trained well wake their teammates.,9,standard_subject_c,275,ctr_00274,ctr_00274.wav
12,12,daily routine,plural,present,The exhausted athletes who trained well energetically wake their teammates.,10,standard_subject_d,276,ctr_00275,ctr_00275.wav
