tense,dataset,theme,num_words,structure,audio_filename,sentence_id,numerosity,sentence
past,naturalistic,food,11,preposition,nat_00978.wav,nat_00978,plural,Were the children at the park not given any snacks yesterday?
present,naturalistic,basic,5,simple,nat_00564.wav,nat_00564,singular,He always starts work early
future,naturalistic,shopping,8,dependent,nat_00712.wav,nat_00712,plural,The shelves won't have the products we need
present,naturalistic,basic,8,simple,nat_01572.wav,nat_01572,plural,Are your colleagues ready for the meeting now?
past,naturalistic,transport,7,simple,nat_00535.wav,nat_00535,plural,The trains did not arrive on time
future,naturalistic,relationship,10,dependent,nat_01336.wav,nat_01336,plural,Our parents will help us with tasks that are difficult
future,naturalistic,shopping,8,simple,nat_00861.wav,nat_00861,singular,Will the bakery not bake fresh bread tomorrow?
present,naturalistic,relationship,9,preposition,nat_00350.wav,nat_00350,singular,Never argue with your sister in front of guests
future,naturalistic,transport,6,preposition,nat_01936.wav,nat_01936,singular,Don't walk through the airport alone
future,naturalistic,weather,7,simple,nat_01618.wav,nat_01618,singular,The temperature will rise in the afternoon
present,naturalistic,housing,7,simple,nat_01114.wav,nat_01114,plural,Our neighbors do not hear the repairs
past,naturalistic,emotion,9,independent,nat_00483.wav,nat_00483,plural,Don't let them forget the joy they once felt
future,naturalistic,transport,7,simple,nat_01993.wav,nat_01993,singular,Her friend will plan a road trip
future,naturalistic,relationship,10,dependent,nat_01642.wav,nat_01642,singular,My mother won't believe it unless I explain to her
past,naturalistic,sport,9,dependent,nat_00486.wav,nat_00486,plural,The players weren't ready because the referee hadn't arrived
future,naturalistic,art,11,independent,nat_01342.wav,nat_01342,singular,You will not create the sculpture if you lack the tools
future,naturalistic,sport,7,simple,nat_02123.wav,nat_02123,singular,The race will start at dawn tomorrow
future,naturalistic,transport,10,preposition,nat_02067.wav,nat_02067,plural,Will the buses in the city run at night tomorrow?
future,naturalistic,relationship,8,simple,nat_00544.wav,nat_00544,plural,Your friends won't let you down next week
future,naturalistic,emotion,9,preposition,nat_00752.wav,nat_00752,plural,The neighbors behind us won’t enjoy peace this evening
past,naturalistic,work,9,preposition,nat_00596.wav,nat_00596,singular,She did not go to work in the afternoon
future,naturalistic,shopping,8,simple,nat_00069.wav,nat_00069,plural,Will the offers not change after this week?
past,naturalistic,housing,10,dependent,nat_01357.wav,nat_01357,singular,He has never bought any furniture that was on sale
future,naturalistic,basic,6,simple,nat_01467.wav,nat_01467,plural,Please don't miss the upcoming concert
past,naturalistic,transport,8,simple,nat_00233.wav,nat_00233,plural,The flights were all set to leave yesterday
future,naturalistic,humanity,7,preposition,nat_01511.wav,nat_01511,singular,Visit the museum with your family tomorrow
present,naturalistic,shopping,10,independent,nat_00438.wav,nat_00438,singular,I don't shop here because their prices are too high
future,naturalistic,health,8,simple,nat_00458.wav,nat_00458,singular,Have a regular schedule for better sleep soon
past,naturalistic,transport,8,simple,nat_01601.wav,nat_01601,plural,Didn't the passengers enjoy their flight back then?
future,naturalistic,emotion,7,simple,nat_00281.wav,nat_00281,plural,The children will enjoy their time together
present,naturalistic,housing,7,simple,nat_01832.wav,nat_01832,singular,The floor isn't clean enough for guests
future,naturalistic,basic,11,independent,nat_01503.wav,nat_01503,singular,I will not visit the park because it won't be open
present,naturalistic,basic,8,preposition,nat_01927.wav,nat_01927,singular,I never see a cat under my bed
past,naturalistic,transport,9,preposition,nat_02054.wav,nat_02054,singular,Didn't the taxi from the airport arrive late yesterday?
past,naturalistic,transport,10,preposition,nat_01649.wav,nat_01649,singular,The bus at the station did not arrive on time
past,naturalistic,relationship,9,preposition,nat_02011.wav,nat_02011,plural,The children did not play in the park yesterday
present,naturalistic,relationship,7,preposition,nat_00719.wav,nat_00719,plural,Gather your toys from under the table
future,naturalistic,basic,10,simple,nat_00921.wav,nat_00921,plural,Are your parents not coming to the party next weekend?
present,naturalistic,basic,10,preposition,nat_00695.wav,nat_00695,plural,Is there no milk in the fridge for breakfast today?
past,naturalistic,relationship,10,preposition,nat_01128.wav,nat_01128,singular,He left the gift on the table for his parents
past,naturalistic,transport,9,simple,nat_00099.wav,nat_00099,singular,Please understand why the hotel was not open then
past,naturalistic,weather,10,preposition,nat_01867.wav,nat_01867,singular,The sun during winter was not warm in the morning
future,naturalistic,weather,6,simple,nat_01298.wav,nat_01298,plural,The temperatures will rise next weekend
past,naturalistic,art,11,preposition,nat_01703.wav,nat_01703,singular,Was the painting not displayed at the gallery on that day?
present,naturalistic,basic,10,independent,nat_00299.wav,nat_00299,singular,Please don't leave but close the window when you go
future,naturalistic,shopping,10,preposition,nat_01283.wav,nat_01283,plural,The prices on those items will drop significantly next month
past,naturalistic,work,8,simple,nat_00818.wav,nat_00818,singular,Do not say you finished the project yesterday
past,naturalistic,food,10,simple,nat_00893.wav,nat_00893,plural,Were the fruits not fresh enough at the market yesterday?
past,naturalistic,nature,8,simple,nat_00239.wav,nat_00239,singular,Didn't the desert get any rain last summer?
past,naturalistic,food,9,preposition,nat_01505.wav,nat_01505,plural,Bring fresh bread from the bakery for our breakfast
past,naturalistic,emotion,6,simple,nat_00124.wav,nat_00124,singular,He didn't enjoy the movie much
present,naturalistic,transport,5,simple,nat_01271.wav,nat_01271,singular,Please don't miss your flight
future,naturalistic,weather,9,independent,nat_01637.wav,nat_01637,singular,Will the leaves fall when autumn will be here?
future,naturalistic,sport,10,independent,nat_00495.wav,nat_00495,plural,These athletes will not compete unless they are fully trained
future,naturalistic,sport,7,simple,nat_02122.wav,nat_02122,singular,His performance will improve with regular training
present,naturalistic,art,10,preposition,nat_01935.wav,nat_01935,singular,A student in the art class does not sketch landscapes
past,naturalistic,transport,8,simple,nat_01602.wav,nat_01602,plural,Hadn't the tourists visited that museum before now?
past,naturalistic,shopping,8,simple,nat_00806.wav,nat_00806,plural,Did the new products arrive early this morning?
present,naturalistic,emotion,5,simple,nat_00354.wav,nat_00354,singular,That doesn't bring me peace
future,naturalistic,shopping,8,simple,nat_00065.wav,nat_00065,plural,Will the stores not have discounts next week?
future,naturalistic,nature,8,preposition,nat_01970.wav,nat_01970,plural,Study the stars above the mountains before dawn
past,naturalistic,transport,9,preposition,nat_01651.wav,nat_01651,singular,A bike outside the store was not repaired today
future,naturalistic,basic,7,simple,nat_01087.wav,nat_01087,plural,Friends will arrive early for the party
future,naturalistic,shopping,11,independent,nat_02055.wav,nat_02055,plural,The prices will not drop when the sale is not running
present,naturalistic,food,11,independent,nat_01232.wav,nat_01232,singular,Does she never drink coffee at night nor in the morning?
present,naturalistic,weather,11,dependent,nat_01803.wav,nat_01803,plural,Make sure your windows are not left open when it rains
past,naturalistic,emotion,11,independent,nat_01414.wav,nat_01414,plural,When did the birds sing and bring joy to the morning?
present,naturalistic,emotion,6,simple,nat_00686.wav,nat_00686,plural,Many workers experience stress at work
future,naturalistic,weather,10,preposition,nat_01656.wav,nat_01656,singular,A storm will not form over the mountains this weekend
past,naturalistic,relationship,10,preposition,nat_01628.wav,nat_01628,plural,Our cousins visited us at the beach house last summer
present,naturalistic,food,9,independent,nat_01061.wav,nat_01061,plural,Aren't children eating vegetables while parents aren't cooking them?
present,naturalistic,emotion,10,preposition,nat_01176.wav,nat_01176,plural,The thoughts in my mind aren't filled with happiness today
past,naturalistic,shopping,10,independent,nat_00617.wav,nat_00617,singular,She hadn't seen that discount but you shouldn't ask now
future,naturalistic,relationship,11,independent,nat_00674.wav,nat_00674,plural,Do siblings often argue yet will they help each other later?
past,naturalistic,work,7,simple,nat_00602.wav,nat_00602,singular,Was her schedule not busy last week?
present,naturalistic,weather,8,preposition,nat_01468.wav,nat_01468,singular,The air in the city feels warm today
present,naturalistic,shopping,11,preposition,nat_01421.wav,nat_01421,plural,The vegetables in that section look fresh today at the market
past,naturalistic,art,10,simple,nat_01545.wav,nat_01545,singular,Stop practicing your song since you played it before already
future,naturalistic,relationship,10,preposition,nat_00185.wav,nat_00185,plural,The children outside the house will not finish their game
present,naturalistic,emotion,10,dependent,nat_00636.wav,nat_00636,singular,Why doesn't the child who is always happy smile today?
future,naturalistic,weather,12,independent,nat_00212.wav,nat_00212,singular,The cold front will move through for it will change the weather
present,naturalistic,emotion,10,dependent,nat_01611.wav,nat_01611,plural,Isn't anyone who is sad coming to the party tonight?
future,naturalistic,shopping,10,preposition,nat_00925.wav,nat_00925,plural,Don't forget about discounts at the end of each season
future,naturalistic,weather,6,simple,nat_01616.wav,nat_01616,singular,The sun will shine brightly tomorrow
future,naturalistic,work,12,preposition,nat_00134.wav,nat_00134,plural,Are the students in the library going to complete their assignments today?
future,naturalistic,sport,10,dependent,nat_00096.wav,nat_00096,plural,Will the players who practice daily improve their skills tomorrow?
past,naturalistic,transport,7,simple,nat_02026.wav,nat_02026,plural,Had tourists visited that museum last year?
past,naturalistic,humanity,8,simple,nat_01221.wav,nat_01221,plural,The artists didn't find inspiration for their work
present,naturalistic,food,8,preposition,nat_01125.wav,nat_01125,singular,The bread from the bakery isn't fresh today
past,naturalistic,food,5,simple,nat_01385.wav,nat_01385,singular,The soup wasn't hot before
present,naturalistic,transport,9,dependent,nat_00188.wav,nat_00188,singular,Don't take the train that doesn't have open windows
future,naturalistic,food,6,simple,nat_01559.wav,nat_01559,singular,Prepare dessert for the guests later
future,naturalistic,relationship,8,dependent,nat_01068.wav,nat_01068,singular,Tell the child who will play that game
past,naturalistic,emotion,9,preposition,nat_01364.wav,nat_01364,singular,His heart was heavy with sadness after the news
present,naturalistic,shopping,10,dependent,nat_01332.wav,nat_01332,plural,People who enjoy shopping usually find the best offers quickly
past,naturalistic,relationship,6,simple,nat_01134.wav,nat_01134,singular,His father worked late last night
past,naturalistic,relationship,10,preposition,nat_01330.wav,nat_01330,singular,His sister was not working on the project with me
future,naturalistic,transport,10,independent,nat_01200.wav,nat_01200,singular,He won't take the flight because the ticket isn't available
present,naturalistic,basic,8,dependent,nat_00845.wav,nat_00845,plural,Those games I mentioned aren't available online today
past,naturalistic,relationship,12,preposition,nat_00440.wav,nat_00440,plural,Did your siblings in the living room watch that movie last night?
future,naturalistic,transport,7,simple,nat_01692.wav,nat_01692,singular,Your train won't arrive on time tonight
future,naturalistic,transport,11,simple,nat_00210.wav,nat_00210,plural,Are those buses not running a night service during the summer?
present,naturalistic,nature,8,preposition,nat_02051.wav,nat_02051,singular,The path through the forest isn't very clear
future,naturalistic,emotion,9,preposition,nat_01064.wav,nat_01064,plural,The children with the toys will feel very happy
present,naturalistic,shopping,8,dependent,nat_01464.wav,nat_01464,singular,The bakery doesn't sell the cake I like
future,naturalistic,shopping,8,simple,nat_01285.wav,nat_01285,plural,Do not let them sell out before Friday
future,naturalistic,work,8,simple,nat_02023.wav,nat_02023,plural,Will those classes not continue throughout the summer?
future,naturalistic,emotion,9,preposition,nat_01204.wav,nat_01204,plural,Will the children at the park feel happy tomorrow?
present,naturalistic,emotion,6,simple,nat_01345.wav,nat_01345,plural,The kids are not happy today
future,naturalistic,emotion,9,preposition,nat_02128.wav,nat_02128,singular,My heart will not race in fear at night
past,naturalistic,nature,9,preposition,nat_00810.wav,nat_00810,singular,The tree behind the house didn't grow last year
future,naturalistic,relationship,11,preposition,nat_00220.wav,nat_00220,singular,The sister will not finish her story over the phone tonight
present,naturalistic,shopping,7,simple,nat_01723.wav,nat_01723,singular,She isn't happy with the service here
future,naturalistic,housing,10,independent,nat_00237.wav,nat_00237,plural,You must not repair the roof if it rains tomorrow
present,naturalistic,relationship,8,preposition,nat_00721.wav,nat_00721,plural,Share your lunch with friends at school today
future,naturalistic,transport,11,dependent,nat_00809.wav,nat_00809,plural,Won't the cars that need repairs be available by next week?
present,naturalistic,food,12,independent,nat_00289.wav,nat_00289,singular,He does not cook well because he does not try hard enough
past,naturalistic,work,9,dependent,nat_00567.wav,nat_00567,singular,Take the book which wasn't read by the student
present,naturalistic,basic,11,preposition,nat_00694.wav,nat_00694,plural,Do the lights in the hallway not work during the day?
past,naturalistic,weather,6,simple,nat_00316.wav,nat_00316,singular,Didn't the rain stop before evening?
past,naturalistic,relationship,10,independent,nat_01189.wav,nat_01189,plural,Your friends didn't visit the park nor did they swim
future,naturalistic,basic,8,preposition,nat_01737.wav,nat_01737,plural,The children will play in the park tomorrow
present,naturalistic,nature,9,dependent,nat_00013.wav,nat_00013,plural,Birds do not sing when the storm is near
past,naturalistic,housing,9,preposition,nat_01427.wav,nat_01427,singular,Did the chair in the corner get repaired yesterday?
future,naturalistic,sport,11,independent,nat_01001.wav,nat_01001,singular,He will not attend the match nor will he watch it
future,naturalistic,emotion,11,dependent,nat_02016.wav,nat_02016,plural,Their parents will be happy if the children pass their exams
future,naturalistic,relationship,9,preposition,nat_01422.wav,nat_01422,plural,They will play in the park with their friends
future,naturalistic,food,9,simple,nat_00478.wav,nat_00478,singular,Is he not planning to bake a cake tomorrow?
future,naturalistic,food,12,preposition,nat_01394.wav,nat_01394,singular,Make sure you won't use sugar in your tea from now on
present,naturalistic,basic,5,simple,nat_01441.wav,nat_01441,singular,He cannot hear the music
past,naturalistic,health,9,preposition,nat_01052.wav,nat_01052,singular,Could you run without pain along the track yesterday?
present,naturalistic,art,8,simple,nat_01395.wav,nat_01395,singular,This gallery isn't open for new artists now
present,naturalistic,relationship,5,simple,nat_00756.wav,nat_00756,singular,Ask your father for help
future,naturalistic,transport,7,simple,nat_00867.wav,nat_00867,singular,I will not take a train tomorrow
present,naturalistic,shopping,9,preposition,nat_01360.wav,nat_01360,singular,The chair by the window isn't available for customers
