level_0,index,theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue
94,94,science,imperative,dependent,plural,past,affirmative,Record the outcomes that occurred when variables were adjusted,9,correct
95,95,science,imperative,dependent,plural,past,affirmative,Verify those calculations that helped solve complex equations earlier,9,correct
96,96,science,imperative,dependent,plural,past,affirmative,Clean the lab equipment which was last used for chemical experiments,11,correct
97,97,science,imperative,dependent,plural,past,affirmative,Document how the machines performed when settings had been changed,10,correct
98,98,science,imperative,dependent,plural,past,affirmative,Analyze the results after variables were controlled tightly in simulations,10,correct
99,99,science,imperative,dependent,plural,past,affirmative,Print all diagrams that were finalized in today's meeting,9,correct
100,100,weather,interrogative,dependent,singular,past,affirmative,Did you remember the storm that hit the town last year?,11,correct
101,101,weather,interrogative,dependent,singular,past,affirmative,Were you the one who enjoyed the snowstorm yesterday?,9,correct
102,102,weather,interrogative,dependent,singular,past,affirmative,Was the person who checked the rain gauge surprised by its fullness?,12,correct
103,103,weather,interrogative,dependent,singular,past,affirmative,Did the summer heat that you experienced last week overwhelm you?,11,correct
104,104,weather,interrogative,dependent,singular,past,affirmative,Wasn't it you who heard about the sudden blizzard warning?,10,correct
105,105,weather,interrogative,dependent,singular,past,affirmative,Were you aware that the temperature had dropped significantly overnight?,10,correct
106,106,weather,interrogative,dependent,singular,past,affirmative,Did the person who predicted a sunny day get it wrong again?,12,correct
107,107,weather,interrogative,dependent,singular,past,affirmative,Had you heard the forecast that announced a drought during spring?,11,correct
108,108,weather,interrogative,dependent,singular,past,affirmative,Were you the one who noticed how fast the snow melted?,11,correct
109,109,weather,interrogative,dependent,singular,past,affirmative,Did the autumn breeze that you felt yesterday bring you peace?,11,correct
110,110,weather,interrogative,dependent,singular,past,affirmative,Was it you who saw the hailstorm that damaged the roofs?,11,correct
111,111,weather,interrogative,dependent,singular,past,affirmative,Had the season changed before you noticed the leaves turning orange?,11,correct
112,112,weather,interrogative,dependent,singular,past,affirmative,Did you catch how chilly it was before leaving for work?,11,correct
113,113,weather,interrogative,dependent,singular,past,affirmative,Was your friend the person who mentioned the upcoming heatwave?,10,correct
114,114,weather,interrogative,dependent,singular,past,affirmative,Did you notice how calm the sea was after the hurricane passed?,12,correct
115,115,weather,interrogative,dependent,singular,past,affirmative,Was it surprising to hear about the flood that drained so quickly?,12,correct
117,117,weather,interrogative,dependent,singular,past,affirmative,Had the snowfall gone unnoticed by anyone else at your party?,11,correct
118,118,weather,interrogative,dependent,singular,past,affirmative,Were you cold when you realized winter had already started?,10,correct
119,119,weather,interrogative,dependent,singular,past,affirmative,Did the gentle rain that fell overnight help you sleep peacefully?,11,correct
140,140,humanity,declarative,dependent,plural,future,affirmative,Artists who embrace diverse cultures will inspire future generations,9,correct
141,141,humanity,declarative,dependent,plural,future,affirmative,Economists studying global trends will predict the shifts in power,10,correct
142,142,humanity,declarative,dependent,plural,future,affirmative,Philosophers exploring new ideas will spark intriguing discussions,8,correct
143,143,humanity,declarative,dependent,plural,future,affirmative,Teachers developing innovative methods will enhance cultural understanding,8,correct
144,144,humanity,declarative,dependent,plural,future,affirmative,Historians researching ancient civilizations will uncover hidden truths,8,correct
145,145,humanity,declarative,dependent,plural,future,affirmative,Writers who explore societal issues will influence future narratives,9,correct
146,146,humanity,declarative,dependent,plural,future,affirmative,Political analysts analyzing trends will gauge electoral outcomes accurately,9,correct
147,147,humanity,declarative,dependent,plural,future,affirmative,Readers engaging with international literature will gain broader perspectives,9,correct
148,148,humanity,declarative,dependent,plural,future,affirmative,Musicians creating unique sounds will reshape musical landscapes,8,correct
150,150,humanity,declarative,dependent,plural,future,affirmative,Filmmakers using diverse stories will revolutionize cinema worldwide,8,correct
151,151,humanity,declarative,dependent,plural,future,affirmative,Critics reviewing contemporary works will shape cultural dialogues,8,correct
152,152,humanity,declarative,dependent,plural,future,affirmative,Architects designing sustainable structures will redefine urban planning,8,correct
154,154,humanity,declarative,dependent,plural,future,affirmative,Scholars who study ancient texts will uncover lost philosophies,9,correct
155,155,humanity,declarative,dependent,plural,future,affirmative,Scientists collaborating internationally will solve pressing ethical dilemmas,8,correct
156,156,humanity,declarative,dependent,plural,future,affirmative,Activists advocating for human rights will create meaningful change,9,correct
158,158,humanity,declarative,dependent,plural,future,affirmative,Playwrights addressing societal challenges will provoke thoughtful reactions,8,correct
159,159,humanity,declarative,dependent,plural,future,affirmative,Traditions passed through generations will strengthen communal ties globally,9,correct
160,160,housing,declarative,simple,singular,future,affirmative,The plumber will fix the leaky faucet,7,correct
161,161,housing,declarative,simple,singular,future,affirmative,A new rug will brighten the living room,8,correct
162,162,housing,declarative,simple,singular,future,affirmative,She will decorate the walls with paintings,7,correct
163,163,housing,declarative,simple,singular,future,affirmative,The fireplace will warm the entire house,7,correct
164,164,housing,declarative,simple,singular,future,affirmative,That lamp will light up the study,7,correct
165,165,housing,declarative,simple,singular,future,affirmative,An electrician will install the ceiling fan,7,correct
166,166,housing,declarative,simple,singular,future,affirmative,The garden will be blooming by spring,7,correct
167,167,housing,declarative,simple,singular,future,affirmative,He will choose a comfortable mattress later,7,correct
168,168,housing,declarative,simple,singular,future,affirmative,A fresh coat of paint will transform the kitchen,9,correct
169,169,housing,declarative,simple,singular,future,affirmative,The table will arrive tomorrow morning,6,correct
170,170,housing,declarative,simple,singular,future,affirmative,Her cat will enjoy the new scratching post,8,correct
171,171,housing,declarative,simple,singular,future,affirmative,The locksmith will change all the locks today,8,correct
172,172,housing,declarative,simple,singular,future,affirmative,His chair will need reupholstering soon,6,correct
173,173,housing,declarative,simple,singular,future,affirmative,The carpenter will build a wooden shelf,7,correct
174,174,housing,declarative,simple,singular,future,affirmative,A new vacuum cleaner will help with the cleaning,9,correct
175,175,housing,declarative,simple,singular,future,affirmative,The roof will withstand heavy rain this year,8,correct
176,176,housing,declarative,simple,singular,future,affirmative,Her couch will come next Thursday,6,correct
177,177,housing,declarative,simple,singular,future,affirmative,He will organize the attic next weekend,7,correct
178,178,housing,declarative,simple,singular,future,affirmative,A humidifier will improve the air quality indoors,8,correct
179,179,housing,declarative,simple,singular,future,affirmative,The architect will draw up renovation plans first,8,correct
180,180,food,declarative,simple,singular,present,affirmative,I eat fresh fruits every morning,6,correct
181,181,food,declarative,simple,singular,present,affirmative,My sister loves spicy food,5,correct
182,182,food,declarative,simple,singular,present,affirmative,The soup tastes delicious today,5,correct
183,183,food,declarative,simple,singular,present,affirmative,He prefers grilled chicken for dinner,6,correct
184,184,food,declarative,simple,singular,present,affirmative,I drink green tea after breakfast,6,correct
185,185,food,declarative,simple,singular,present,affirmative,A banana is a healthy snack,6,correct
186,186,food,declarative,simple,singular,present,affirmative,An apple contains essential vitamins,5,correct
187,187,food,declarative,simple,singular,present,affirmative,She cooks pasta with cheese sauce,6,correct
188,188,food,declarative,simple,singular,present,affirmative,The bread smells freshly baked,5,correct
189,189,food,declarative,simple,singular,present,affirmative,I enjoy smoothies in the summer,6,correct
190,190,food,declarative,simple,singular,present,affirmative,Each ingredient adds unique flavor,5,correct
191,191,food,declarative,simple,singular,present,affirmative,Fish contains high-quality protein,4,correct
192,192,food,declarative,simple,singular,present,affirmative,Brown rice is more nutritious,5,correct
193,193,food,declarative,simple,singular,present,affirmative,Vegetarian meals provide ample energy,5,correct
194,194,food,declarative,simple,singular,present,affirmative,Whole grains are very nutritious,5,correct
195,195,food,declarative,simple,singular,present,affirmative,The salad looks colorful and appealing,6,correct
196,196,food,declarative,simple,singular,present,affirmative,He chooses oatmeal for breakfast,5,correct
197,197,food,declarative,simple,singular,present,affirmative,Broccoli provides valuable nutrients,4,correct
198,198,food,declarative,simple,singular,present,affirmative,I savor dark chocolate occasionally,5,correct
199,199,food,declarative,simple,singular,present,affirmative,Her recipe requires coconut milk,5,correct
200,200,sport,interrogative,preposition,plural,present,affirmative,Are the children in the team practicing in the sports hall?,11,correct
201,201,sport,interrogative,preposition,plural,present,affirmative,Do those players on the field need water after the game?,11,correct
203,203,sport,interrogative,preposition,plural,present,affirmative,Do your friends at the gym enjoy running on the treadmill regularly?,12,correct
204,204,sport,interrogative,preposition,plural,present,affirmative,Are all members of the club taking part in the competition today?,12,correct
205,205,sport,interrogative,preposition,plural,present,affirmative,Do the athletes from your school train outdoors during winter months?,11,correct
206,206,sport,interrogative,preposition,plural,present,affirmative,Are your cousins joining the yoga class at the park tomorrow morning?,12,correct
207,207,sport,interrogative,preposition,plural,present,affirmative,Do the fans in the stadium cheer loudly during every match?,11,correct
208,208,sport,interrogative,preposition,plural,present,affirmative,Are both referees in the left section checking all the rules?,11,correct
209,209,sport,interrogative,preposition,plural,present,affirmative,Do participants in the sports camp meet daily for fitness routines?,11,correct
210,210,sport,interrogative,preposition,plural,present,affirmative,Are players on the opposite side wearing red jerseys this season?,11,correct
211,211,sport,interrogative,preposition,plural,present,affirmative,Do those runners on the track path practice their speed training here?,12,correct
212,212,sport,interrogative,preposition,plural,present,affirmative,Are gym members in the local area swimming for cardiovascular health?,11,correct
213,213,sport,interrogative,preposition,plural,present,affirmative,Do your siblings prefer outdoor sports over workouts in the gym?,11,correct
214,214,sport,interrogative,preposition,plural,present,affirmative,Are there injuries among competitors on your side of the field?,11,correct
215,215,sport,interrogative,preposition,plural,present,affirmative,Do their trainers in that program emphasize teamwork over individual skill?,11,correct
216,216,sport,interrogative,preposition,plural,present,affirmative,Are cyclists from various countries participating in this international race?,10,correct
217,217,sport,interrogative,preposition,plural,present,affirmative,Do your neighbors compete in tennis tournaments across different regions?,10,correct
218,218,sport,interrogative,preposition,plural,present,affirmative,Are those basketball teams in our district improving their techniques rapidly?,11,correct
219,219,sport,interrogative,preposition,plural,present,affirmative,Do athletes practicing early in the morning experience better results generally?,11,correct
220,220,shopping,declarative,dependent,singular,future,affirmative,The cashier who will assist you is very helpful,9,correct
221,221,shopping,declarative,dependent,singular,future,affirmative,I will find the dress that matches your description,9,correct
222,222,shopping,declarative,dependent,singular,future,affirmative,He will select the phone that comes with a guarantee,10,correct
223,223,shopping,declarative,dependent,singular,future,affirmative,The new product will attract customers when it goes on sale,11,correct
224,224,shopping,declarative,dependent,singular,future,affirmative,She will choose the first item that fits her budget,10,correct
225,225,shopping,declarative,dependent,singular,future,affirmative,A discount will apply to any customer who joins the loyalty program,12,correct
226,226,shopping,declarative,dependent,singular,future,affirmative,This bakery will make the cake that you ordered yesterday,10,correct
227,227,shopping,declarative,dependent,singular,future,affirmative,The barber who will cut your hair is very experienced,10,correct
228,228,shopping,declarative,dependent,singular,future,affirmative,I will buy the shoes that are displayed in the window,11,correct
229,229,shopping,declarative,dependent,singular,future,affirmative,His order will include the newest book available in the store,11,correct
230,230,shopping,declarative,dependent,singular,future,affirmative,The warranty will cover any issue that arises in the first year,12,correct
231,231,shopping,declarative,dependent,singular,future,affirmative,He will accept the offer that includes free delivery services,10,correct
232,232,shopping,declarative,dependent,singular,future,affirmative,I will visit the shop that has a grand opening tomorrow,11,correct
233,233,shopping,declarative,dependent,singular,future,affirmative,The latest gadget will cost more than what you expect to pay,12,correct
236,236,shopping,declarative,dependent,singular,future,affirmative,The sales representative who works here will answer your questions soon,11,correct
237,237,shopping,declarative,dependent,singular,future,affirmative,I will order the meal that looks appetizing on their menu online,12,correct
238,238,shopping,declarative,dependent,singular,future,affirmative,The app on my phone will scan prices at many locations quickly,12,correct
239,239,shopping,declarative,dependent,singular,future,affirmative,It will be worth visiting the store where prices drop drastically,11,correct
320,320,food,declarative,independent,singular,past,affirmative,"He prepared dinner, and she loved the flavors",8,correct
321,321,food,declarative,independent,singular,past,affirmative,"She tasted the soup, but it was too salty for her",11,correct
322,322,food,declarative,independent,singular,past,affirmative,"The chef cooked for hours, so everyone enjoyed the meal",10,correct
323,323,food,declarative,independent,singular,past,affirmative,"A bird watched the picnic, and it waited for crumbs",10,correct
324,324,food,declarative,independent,singular,past,affirmative,An apple fell when the tree shook in the wind,10,correct
325,325,food,declarative,independent,singular,past,affirmative,"I tried the new diet, yet it was not satisfying",10,correct
326,326,food,declarative,independent,singular,past,affirmative,She made breakfast while he set the table,8,correct
327,327,food,declarative,independent,singular,past,affirmative,"A pigeon pecked the bread, for it was hungry",9,correct
328,328,food,declarative,independent,singular,past,affirmative,I brewed tea because it was a chilly morning,9,correct
329,329,food,declarative,independent,singular,past,affirmative,He ate the last sandwich because he was very hungry,10,correct
330,330,food,declarative,independent,singular,past,affirmative,"The pot simmered slowly, and the aroma filled the room",10,correct
331,331,food,declarative,independent,singular,past,affirmative,She kneaded dough when the timer buzzed upstairs,8,correct
332,332,food,declarative,independent,singular,past,affirmative,"A strange fruit appeared, but she decided to taste it",10,correct
333,333,food,declarative,independent,singular,past,affirmative,He finished his drink while the sun set slowly,9,correct
334,334,food,declarative,independent,singular,past,affirmative,"I loved the dessert, for it was perfectly sweet",9,correct
335,335,food,declarative,independent,singular,past,affirmative,"He heated the pan, and the vegetables sizzled quickly",9,correct
336,336,food,declarative,independent,singular,past,affirmative,A light salad sufficed since it was a warm day,10,correct
337,337,food,declarative,independent,singular,past,affirmative,"She tasted the stew, and it was perfectly balanced",9,correct
338,338,food,declarative,independent,singular,past,affirmative,He measured each ingredient carefully because precision mattered greatly,9,correct
339,339,food,declarative,independent,singular,past,affirmative,The guide explained spices while we cooked on the campfire,10,correct
420,420,shopping,interrogative,preposition,plural,past,affirmative,Did those shoes on the shelf go on sale last week?,11,correct
421,421,shopping,interrogative,preposition,plural,past,affirmative,Were the items in the cart cheaper yesterday at the market?,11,correct
422,422,shopping,interrogative,preposition,plural,past,affirmative,Did they buy any clothes from the store around the corner?,11,correct
423,423,shopping,interrogative,preposition,plural,past,affirmative,Did the toys in the basket sell quickly during the fair?,11,correct
424,424,shopping,interrogative,preposition,plural,past,affirmative,Were their favorite perfumes available at half price last month?,10,correct
426,426,shopping,interrogative,preposition,plural,past,affirmative,Did the electronics on display catch your eye at the mall?,11,correct
428,428,shopping,interrogative,preposition,plural,past,affirmative,Did several gadgets in the box get discounted last weekend?,10,correct
429,429,shopping,interrogative,preposition,plural,past,affirmative,Had their kids found anything exciting in the shop near our house?,12,correct
430,430,shopping,interrogative,preposition,plural,past,affirmative,Did the dresses upstairs cost less during last week's sale?,10,correct
431,431,shopping,interrogative,preposition,plural,past,affirmative,Were all those groceries bought at a low price yesterday?,10,correct
432,432,shopping,interrogative,preposition,plural,past,affirmative,Did their friends find better deals at the store across town?,11,correct
433,433,shopping,interrogative,preposition,plural,past,affirmative,Were the toys upstairs included in last night's discount promotion?,10,correct
434,434,shopping,interrogative,preposition,plural,past,affirmative,Had the cakes near the counter sold out by evening?,10,correct
436,436,shopping,interrogative,preposition,plural,past,affirmative,Were the handbags with the label available for purchase last Monday?,11,correct
437,437,shopping,interrogative,preposition,plural,past,affirmative,Did those shoes under the table attract much attention during their sale?,12,correct
440,440,basic,interrogative,simple,plural,past,affirmative,Were the kids playing outside?,5,correct
441,441,basic,interrogative,simple,plural,past,affirmative,Did you find the keys?,5,correct
442,442,basic,interrogative,simple,plural,past,affirmative,Did the children eat breakfast?,5,correct
444,444,basic,interrogative,simple,plural,past,affirmative,Had they completed the task?,5,correct
445,445,basic,interrogative,simple,plural,past,affirmative,Did the boys go home?,5,correct
446,446,basic,interrogative,simple,plural,past,affirmative,Was everyone feeling tired?,4,correct
447,447,basic,interrogative,simple,plural,past,affirmative,Had the dogs been barking?,5,correct
448,448,basic,interrogative,simple,plural,past,affirmative,Did the teachers leave already?,5,correct
449,449,basic,interrogative,simple,plural,past,affirmative,Were the lights turned off?,5,correct
450,450,basic,interrogative,simple,plural,past,affirmative,Did the desserts taste good?,5,correct
451,451,basic,interrogative,simple,plural,past,affirmative,Were the workers here today?,5,correct
453,453,basic,interrogative,simple,plural,past,affirmative,Had they arrived this morning?,5,correct
454,454,basic,interrogative,simple,plural,past,affirmative,Were your friends at school?,5,correct
455,455,basic,interrogative,simple,plural,past,affirmative,Did the girls sing beautifully?,5,correct
457,457,basic,interrogative,simple,plural,past,affirmative,Were the cats sleeping comfortably?,5,correct
458,458,basic,interrogative,simple,plural,past,affirmative,Did people enjoy the meal?,5,correct
459,459,basic,interrogative,simple,plural,past,affirmative,Were those shoes sold out?,5,correct
460,460,art,declarative,independent,singular,future,affirmative,"I will paint tomorrow, and she will join me later",10,correct
461,461,art,declarative,independent,singular,future,affirmative,"The artist will sculpt, but he will need more clay",10,correct
462,462,art,declarative,independent,singular,future,affirmative,"A photographer will capture the moment, for the light will be perfect",12,correct
463,463,art,declarative,independent,singular,future,affirmative,"An author will write all night, so the book will finish soon",12,correct
467,467,art,declarative,independent,singular,future,affirmative,A sculptor will carve marble because the texture will allow smooth cuts,12,correct
468,468,art,declarative,independent,singular,future,affirmative,"The filmmaker will shoot scenes, yet the editor will need more footage",12,correct
469,469,art,declarative,independent,singular,future,affirmative,"The painter will use oils, and the canvas will be large",11,correct
470,470,art,declarative,independent,singular,future,affirmative,The artist will draw sketches while the model will pose gracefully,11,correct
472,472,art,declarative,independent,singular,future,affirmative,"The designer will create patterns, so the seamstress will start sewing soon",12,correct
474,474,art,declarative,independent,singular,future,affirmative,A writer will draft new ideas for the screenplay today,10,correct
475,475,art,declarative,independent,singular,future,affirmative,The photographer will adjust settings because the lighting will change again,11,correct
476,476,art,declarative,independent,singular,future,affirmative,"A painter will mix colors, and each brushstroke will transform the canvas",12,correct
477,477,art,declarative,independent,singular,future,affirmative,The sculptor will finish his piece when the exhibition opens next month,12,correct
478,478,art,declarative,independent,singular,future,affirmative,The artist will find inspiration where nature displays vibrant hues and shapes,12,correct
479,479,art,declarative,independent,singular,future,affirmative,"A musician will receive applause, for her performance will touch hearts deeply",12,correct
520,520,nature,interrogative,dependent,singular,future,affirmative,Will the flower that blooms in spring grow here?,9,correct
521,521,nature,interrogative,dependent,singular,future,affirmative,Which bird will migrate to the region where the trees are tall?,12,correct
522,522,nature,interrogative,dependent,singular,future,affirmative,Might the mountain that you admire remain snowy next winter?,10,correct
523,523,nature,interrogative,dependent,singular,future,affirmative,Do you think the river that flows swiftly will ebb tomorrow?,11,correct
524,524,nature,interrogative,dependent,singular,future,affirmative,Who will see the forest that stretches beyond our sight?,10,correct
525,525,nature,interrogative,dependent,singular,future,affirmative,Shall we visit the valley where the rare species will thrive?,11,correct
527,527,nature,interrogative,dependent,singular,future,affirmative,Is it likely that the cactus will bloom in this dry desert?,12,correct
528,528,nature,interrogative,dependent,singular,future,affirmative,Will the lion I read about hunt in the nearby savannah?,11,correct
529,529,nature,interrogative,dependent,singular,future,affirmative,Could a storm affect the area where the birds are nesting?,11,correct
530,530,nature,interrogative,dependent,singular,future,affirmative,Will someone find the cave that lies beneath the mountain?,10,correct
531,531,nature,interrogative,dependent,singular,future,affirmative,How will the gardener cultivate a plant that needs little water?,11,correct
532,532,nature,interrogative,dependent,singular,future,affirmative,Shall we climb the hill which offers a great view tonight?,11,correct
533,533,nature,interrogative,dependent,singular,future,affirmative,Could an eagle that soars high build its nest there?,10,correct
534,534,nature,interrogative,dependent,singular,future,affirmative,Will you discover a stream that flows through this dense forest?,11,correct
535,535,nature,interrogative,dependent,singular,future,affirmative,Will there be a time when the penguin waddles on warmer shores?,12,correct
536,536,nature,interrogative,dependent,singular,future,affirmative,Might dolphins trust the waters where you plan to sail?,10,correct
537,537,nature,interrogative,dependent,singular,future,affirmative,How will you protect the species that are endangered here?,10,correct
538,538,nature,interrogative,dependent,singular,future,affirmative,Could you imagine a night when the stars glimmer even brighter?,11,correct
539,539,nature,interrogative,dependent,singular,future,affirmative,Will a great journey lead you to where the rivers sing?,11,correct
560,560,science,interrogative,preposition,singular,past,affirmative,Did the software in the computer display any error messages?,10,correct
561,561,science,interrogative,preposition,singular,past,affirmative,Was the experiment in the laboratory conducted by the scientist?,10,correct
562,562,science,interrogative,preposition,singular,past,affirmative,Did the engine in the car operate efficiently last week?,10,correct
563,563,science,interrogative,preposition,singular,past,affirmative,Were the calculations on the board checked by the mathematician?,10,correct
564,564,science,interrogative,preposition,singular,past,affirmative,Has the new feature in the app been released on time?,11,correct
565,565,science,interrogative,preposition,singular,past,affirmative,Did the discovery under the microscope surprise the researcher yesterday?,10,correct
566,566,science,interrogative,preposition,singular,past,affirmative,Has the innovation in technology improved our lives lately?,9,correct
567,567,science,interrogative,preposition,singular,past,affirmative,Was the formula in that book questioned by students last semester?,11,correct
568,568,science,interrogative,preposition,singular,past,affirmative,Could the theory in the textbook explain the universe's origins accurately?,11,correct
569,569,science,interrogative,preposition,singular,past,affirmative,Did the code in that script function without any errors last night?,12,correct
571,571,science,interrogative,preposition,singular,past,affirmative,Did the device on your desk work during the meeting yesterday?,11,correct
572,572,science,interrogative,preposition,singular,past,affirmative,Was the article on quantum physics read by anyone in your class?,12,correct
574,574,science,interrogative,preposition,singular,past,affirmative,Did the drone with a camera capture images at wide angles yesterday?,12,correct
575,575,science,interrogative,preposition,singular,past,affirmative,Had the idea in that presentation been challenged by engineers before?,11,correct
576,576,science,interrogative,preposition,singular,past,affirmative,Was the technological advancement in automobiles presented at the expo last year?,12,correct
577,577,science,interrogative,preposition,singular,past,affirmative,Did the analysis of that data set reveal anything substantial?,10,correct
578,578,science,interrogative,preposition,singular,past,affirmative,Has the information in that manual been understood by those workers?,11,correct
579,579,science,interrogative,preposition,singular,past,affirmative,Was any progress on artificial intelligence discussed at this workshop?,10,correct
600,600,basic,declarative,preposition,plural,present,affirmative,People in the hallway are speaking loudly,7,correct
601,601,basic,declarative,preposition,plural,present,affirmative,The kids at the park enjoy playing games,8,correct
602,602,basic,declarative,preposition,plural,present,affirmative,Those books on the shelf look interesting,7,correct
603,603,basic,declarative,preposition,plural,present,affirmative,The dogs in the yard love to play,8,correct
604,604,basic,declarative,preposition,plural,present,affirmative,Friends at the table are sharing stories,7,correct
605,605,basic,declarative,preposition,plural,present,affirmative,Shoes by the door belong to my family,8,correct
606,606,basic,declarative,preposition,plural,present,affirmative,Guests in the living room are enjoying themselves,8,correct
607,607,basic,declarative,preposition,plural,present,affirmative,The birds on the tree are chirping merrily,8,correct
608,608,basic,declarative,preposition,plural,present,affirmative,Flowers in the vase brighten the room,7,correct
609,609,basic,declarative,preposition,plural,present,affirmative,The teachers in the school are helpful and kind,9,correct
610,610,basic,declarative,preposition,plural,present,affirmative,Clothes in the laundry basket need washing soon,8,correct
611,611,basic,declarative,preposition,plural,present,affirmative,Houses on this street look very charming,7,correct
612,612,basic,declarative,preposition,plural,present,affirmative,The cats under the table watch us closely,8,correct
613,613,basic,declarative,preposition,plural,present,affirmative,Students in the library study quietly together,7,correct
614,614,basic,declarative,preposition,plural,present,affirmative,The chairs around the table are now occupied,8,correct
615,615,basic,declarative,preposition,plural,present,affirmative,People at the bus stop wait patiently for transport,9,correct
616,616,basic,declarative,preposition,plural,present,affirmative,The trees along the road provide much-needed shade,8,correct
617,617,basic,declarative,preposition,plural,present,affirmative,Workers in the office collaborate on different projects,8,correct
618,618,basic,declarative,preposition,plural,present,affirmative,The stars in the night sky shine brightly above,9,correct
619,619,basic,declarative,preposition,plural,present,affirmative,Children around the playground are laughing happily today,8,correct
660,660,art,declarative,preposition,plural,present,affirmative,Artists with exceptional talent are doing great work in sculpture,10,correct
661,661,art,declarative,preposition,plural,present,affirmative,Painters in the studio focus on mixing the vibrant colors,10,correct
662,662,art,declarative,preposition,plural,present,affirmative,Musicians from different genres create wonderful music together,8,correct
663,663,art,declarative,preposition,plural,present,affirmative,Sculptures in the museum represent the creativity of ancient cultures,10,correct
664,664,art,declarative,preposition,plural,present,affirmative,Photographers with unique perspectives capture moments of immense beauty,9,correct
665,665,art,declarative,preposition,plural,present,affirmative,Writers in our group inspire each other with their ideas,10,correct
666,666,art,declarative,preposition,plural,present,affirmative,Students in the art class experiment with various painting techniques,10,correct
667,667,art,declarative,preposition,plural,present,affirmative,Bands on stage deliver energizing performances to their fans,9,correct
668,668,art,declarative,preposition,plural,present,affirmative,Poets for the magazine compose verses about city life,9,correct
669,669,art,declarative,preposition,plural,present,affirmative,Illustrators from our team design captivating book covers every day,10,correct
670,670,art,declarative,preposition,plural,present,affirmative,Performers in the theater bring stories of past eras alive,10,correct
671,671,art,declarative,preposition,plural,present,affirmative,Guitarists around the world explore new styles of playing,9,correct
672,672,art,declarative,preposition,plural,present,affirmative,Filmmakers with a vision are changing the cinematic landscape globally,10,correct
673,673,art,declarative,preposition,plural,present,affirmative,Designers in the workshop create innovative fashion pieces regularly,9,correct
674,674,art,declarative,preposition,plural,present,affirmative,Singers on different platforms share their original songs widely,9,correct
675,675,art,declarative,preposition,plural,present,affirmative,Dancers in the troupe rehearse tirelessly before every big show,10,correct
676,676,art,declarative,preposition,plural,present,affirmative,Bassists at our events add depth to the musical arrangements,10,correct
677,677,art,declarative,preposition,plural,present,affirmative,Cartoonists in newspapers entertain readers with fresh comic strips,9,correct
678,678,art,declarative,preposition,plural,present,affirmative,Critics from art publications offer insightful reviews of exhibitions,9,correct
679,679,art,declarative,preposition,plural,present,affirmative,Drummers in various bands keep audiences engaged with rhythmic beats,10,correct
